step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,4.0022132396698,1.9965,2.0,2.0,human_delay_task_uses_real_observed_duration,standard,,5.99,5.99,74.5326,74.53,0.002600000000001046,2,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,6.022475719451904,3.993,3.99,3.99,human_delay_task_uses_real_observed_duration,standard,,9.98,9.98,78.5226,78.53,-0.00740000000000407,2,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,10.013967752456665,7.986,7.989999999999998,7.989999999999998,human_delay_task_uses_real_observed_duration,standard,,17.97,17.97,86.5126,83.17,3.3426000000000045,2,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,17.985092639923096,7.986,7.98,7.98,human_delay_task_uses_real_observed_duration,standard,,25.95,25.95,94.4926,90.88,3.6126000000000005,2,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,30.828526258468628,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,96.3188,92.76,3.558799999999991,5,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,39.05938959121704,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,96.495,92.68,3.8149999999999977,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,40.782618284225464,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,99.955,96.14,3.8149999999999977,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,44.2415931224823,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,15.59,15.59,106.885,103.07,3.815000000000012,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,51.152787923812866,6.9276,6.920000000000002,6.920000000000002,human_delay_task_uses_real_observed_duration,standard,,22.51,22.51,113.805,110.0,3.805000000000007,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,58.30924201011658,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,111.0012,107.26,3.741199999999992,9,,,,,,,,,,,,fixed,3.39,,,,,,,,
11,delay,61.25921940803528,5.9238,5.92,5.92,human_delay_task_uses_real_observed_duration,standard,,14.81,14.81,116.9212,113.19,3.731200000000001,9,,,,,,,,,,,,fixed,3.39,,,,,,,,
12,delay,67.1858766078949,11.8476,11.85,11.85,human_delay_task_uses_real_observed_duration,standard,,26.66,26.66,128.7712,125.03,3.741199999999992,9,,,,,,,,,,,,fixed,3.39,,,,,,,,
13,delay,79.0594425201416,11.8476,11.84,11.84,human_delay_task_uses_real_observed_duration,standard,,38.5,38.5,140.6112,136.88,3.731200000000001,9,,,,,,,,,,,,fixed,3.39,,,,,,,,
14,delay,89.65585708618164,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,137.60739999999998,133.9,3.7073999999999785,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
15,delay,91.40688586235046,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,141.0674,137.36,3.7073999999999785,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
16,delay,95.77297711372375,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,140.12339999999998,136.46,3.6633999999999673,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
17,delay,105.02018570899963,1.6689,1.67,1.67,human_delay_task_uses_real_observed_duration,standard,,5.01,5.01,140.7256,136.37,4.355599999999981,15,,,,,,,,,,,,fixed,3.39,,,,,,,,
18,delay,109.26990985870361,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,141.4956,137.17,4.3256000000000085,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
19,delay,111.10882067680359,3.58,3.579999999999999,3.579999999999999,human_delay_task_uses_real_observed_duration,standard,,8.95,8.95,145.07559999999998,140.75,4.32559999999998,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
20,delay,114.66752457618713,7.16,7.16,7.16,human_delay_task_uses_real_observed_duration,standard,,16.11,16.11,152.23559999999998,147.91,4.32559999999998,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
21,delay,121.81121468544006,7.16,7.16,7.16,human_delay_task_uses_real_observed_duration,standard,,23.27,23.27,159.39559999999997,155.07,4.32559999999998,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
22,delay,129.01110458374023,7.16,7.16,7.16,human_delay_task_uses_real_observed_duration,standard,,30.43,30.43,166.55559999999997,162.23,4.32559999999998,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
23,delay,136.17378520965576,7.16,7.160000000000004,7.160000000000004,human_delay_task_uses_real_observed_duration,standard,,37.59,37.59,173.71559999999997,169.39,4.32559999999998,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
24,delay,143.36115860939026,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,170.7618,166.5,4.261799999999994,17,,,,,,,,,,,,fixed,3.39,,,,,,,,
25,delay,148.10959362983704,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,170.77799999999996,166.55,4.227999999999952,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
26,delay,161.70447754859924,1.8096,1.8099999999999996,1.8099999999999996,human_delay_task_uses_real_observed_duration,standard,,5.43,5.43,171.53879999999998,167.1,4.438799999999986,22,,,,,,,,,,,,fixed,3.39,,,,,,,,
27,delay,163.53073501586914,3.6192,3.620000000000001,3.620000000000001,human_delay_task_uses_real_observed_duration,standard,,9.05,9.05,175.15879999999999,170.72,4.438799999999986,22,,,,,,,,,,,,fixed,3.39,,,,,,,,
