step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.7319,1.7400000000000002,74.4,6,3.46,5.2,3.46,1.7400000000000002,,,,
2,delay,3.4638,3.46,77.86,6,5.2,8.66,3.46,5.2,,,,
3,delay,6.9276,6.93,84.79,6,8.66,15.59,3.46,12.129999999999999,,,,
4,delay,2.9619,2.9700000000000006,86.48,9,5.92,8.89,5.92,2.9700000000000006,,,,
5,delay,1.797,1.7999999999999998,87.47,10,3.59,5.39,3.59,1.7999999999999998,,,,
6,delay,2.9619,2.9700000000000006,89.53,13,5.92,8.89,5.92,2.9700000000000006,,,,
7,delay,1.79,1.79,89.8,14,3.58,5.37,3.58,1.79,,,,
8,delay,3.58,3.579999999999999,93.38,14,5.37,8.95,3.58,5.369999999999999,,,,
9,delay,7.16,7.16,98.57,14,8.95,16.11,3.58,12.53,,,,
10,delay,7.16,7.16,104.36,14,16.11,23.27,3.58,19.689999999999998,,,,
11,delay,2.9619,2.9700000000000006,103.87,17,5.92,8.89,5.92,2.9700000000000006,,,,
