step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.9965,2.0,74.53,2,3.99,5.99,3.99,2.0,,,,
2,delay,1.8096,1.8099999999999996,75.36,3,3.62,5.43,3.62,1.8099999999999996,,,,
3,delay,3.6192,3.620000000000001,78.98,3,5.43,9.05,3.62,5.430000000000001,,,,
4,delay,1.797,1.7999999999999998,78.11,8,3.59,5.39,3.59,1.7999999999999998,,,,
5,delay,1.7319,1.7400000000000002,79.44,6,3.46,5.2,3.46,1.7400000000000002,,,,
6,delay,3.4638,3.46,82.9,6,5.2,8.66,3.46,5.2,,,,
7,delay,6.9276,6.93,89.83,6,8.66,15.59,3.46,12.129999999999999,,,,
8,delay,1.797,1.7999999999999998,87.28,10,3.59,5.39,3.59,1.7999999999999998,,,,
9,delay,3.594,3.5900000000000007,90.87,10,5.39,8.98,3.59,5.390000000000001,,,,
10,delay,1.79,1.79,88.23,14,3.58,5.37,3.58,1.79,,,,
11,delay,3.58,3.579999999999999,91.81,14,5.37,8.95,3.58,5.369999999999999,,,,
12,order,0.0,2.67,89.12,,,,,,14,15,2.67,5.369999999999999
13,delay,2.9619,2.9700000000000006,91.76,17,5.92,8.89,5.92,2.9700000000000006,,,,
14,delay,1.7319,1.7400000000000002,91.8,18,3.46,5.2,3.46,1.7400000000000002,,,,
15,delay,3.4638,3.46,95.26,18,5.2,8.66,3.46,5.2,,,,
16,order,0.0,2.24,92.31,,,,,,18,19,2.24,5.2
17,delay,1.8096,1.8099999999999996,90.81,22,3.62,5.43,3.62,1.8099999999999996,,,,
18,delay,3.6192,3.620000000000001,94.42,22,5.43,9.05,3.62,5.430000000000001,,,,
19,order,0.0,2.79,91.78,,,,,,22,23,2.79,5.430000000000001
20,delay,7.2384,7.239999999999999,99.02,22,3.62,10.86,3.62,7.239999999999999,,,,
