step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.797,1.7999999999999998,74.25,8,3.59,5.39,3.59,1.7999999999999998,,,,
2,order,0.0,0.7800000000000002,73.23,,,,,,8,6,0.7800000000000002,1.7999999999999998
3,delay,1.7319,1.7400000000000002,73.81,12,3.46,5.2,3.46,1.7400000000000002,,,,
4,delay,3.4638,3.46,77.27,12,5.2,8.66,3.46,5.2,,,,
5,order,0.0,4.18,76.25,,,,,,12,10,4.18,5.2
6,delay,1.79,1.79,75.56,14,3.58,5.37,3.58,1.79,,,,
7,delay,1.7319,1.7400000000000002,75.31,18,3.46,5.2,3.46,1.7400000000000002,,,,
8,delay,3.4638,3.46,78.78,18,5.2,8.66,3.46,5.2,,,,
9,delay,1.797,1.7999999999999998,78.07,19,3.59,5.39,3.59,1.7999999999999998,,,,
10,delay,3.594,3.5900000000000007,81.66,19,5.39,8.98,3.59,5.390000000000001,,,,
11,delay,7.188,7.190000000000001,88.85,19,8.98,16.17,3.59,12.580000000000002,,,,
12,delay,2.9619,2.9700000000000006,85.41,21,5.92,8.89,5.92,2.9700000000000006,,,,
13,delay,5.9238,5.92,91.33,21,8.89,14.81,5.92,8.89,,,,
14,delay,11.8476,11.85,103.18,21,14.81,26.66,5.92,20.740000000000002,,,,
15,delay,1.797,1.7999999999999998,94.37,23,3.59,5.39,3.59,1.7999999999999998,,,,
