step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.797,1.7999999999999998,71.01,10,3.59,5.39,3.59,1.7999999999999998,,,,
2,delay,3.594,3.5900000000000007,74.6,10,5.39,8.98,3.59,5.390000000000001,,,,
3,delay,7.188,7.190000000000001,79.44,10,8.98,16.17,3.59,12.580000000000002,,,,
4,delay,7.188,7.189999999999998,85.52,10,16.17,23.36,3.59,19.77,,,,
5,delay,1.7319,1.7400000000000002,81.55,18,3.46,5.2,3.46,1.7400000000000002,,,,
6,order,0.0,0.7400000000000002,80.56,,,,,,18,19,0.7400000000000002,1.7400000000000002
7,delay,3.4638,3.4699999999999998,84.02,18,3.46,6.93,3.46,3.4699999999999998,,,,
