step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.8096,1.8099999999999996,74.31,3,3.62,5.43,3.62,1.8099999999999996,,,,
2,delay,1.797,1.7999999999999998,74.92,8,3.59,5.39,3.59,1.7999999999999998,,,,
3,delay,3.594,3.6000000000000005,78.52,8,5.39,8.99,3.59,5.4,,,,
4,delay,7.188,7.1800000000000015,83.37,8,8.99,16.17,3.59,12.580000000000002,,,,
5,delay,1.797,1.7999999999999998,85.37,10,3.59,5.39,3.59,1.7999999999999998,,,,
6,delay,3.594,3.5900000000000007,88.96,10,5.39,8.98,3.59,5.390000000000001,,,,
7,delay,1.6689,1.67,85.53,15,3.34,5.01,3.34,1.67,,,,
8,order,0.0,0.4299999999999997,84.29,,,,,,15,14,0.4299999999999997,1.67
9,delay,1.7319,1.7400000000000002,86.24,18,3.46,5.2,3.46,1.7400000000000002,,,,
10,delay,1.8096,1.8099999999999996,86.47,22,3.62,5.43,3.62,1.8099999999999996,,,,
