step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,7.634570360183716,1.8096,1.8099999999999996,1.8099999999999996,human_delay_task_uses_real_observed_duration,standard,,5.43,5.43,74.3464,74.31,0.03640000000000043,3,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,17.77518057823181,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,75.6994,74.92,0.7793999999999954,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,19.550922632217407,3.594,3.6000000000000005,3.6000000000000005,human_delay_task_uses_real_observed_duration,standard,,8.99,8.99,79.29939999999999,78.52,0.7793999999999954,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,23.15318274497986,7.188,7.1800000000000015,7.1800000000000015,human_delay_task_uses_real_observed_duration,standard,,16.17,16.17,86.47940000000001,83.37,3.109400000000008,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,41.152162313461304,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,84.60539999999999,85.37,-0.7646000000000157,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,42.967363357543945,3.594,3.5900000000000007,3.5900000000000007,human_delay_task_uses_real_observed_duration,standard,,8.98,8.98,88.19539999999999,88.96,-0.7646000000000015,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,54.193217515945435,1.6689,1.67,1.67,human_delay_task_uses_real_observed_duration,standard,,5.01,5.01,86.9776,85.53,1.4475999999999942,15,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,order,54.83520150184631,0.0,0.4299999999999997,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,,89.3676,84.29,5.07759999999999,15,15,14,15,14,4.01,3.34,4.01,3.58,3.58,standard_human_time_mode,1,fixed,3.39,3.39,3.39,fixed_value,3.39,3.39,3.39,1.67,0.4299999999999997
9,delay,67.79909563064575,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,91.10379999999999,86.24,4.863799999999998,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,81.09885883331299,1.8096,1.8099999999999996,1.8099999999999996,human_delay_task_uses_real_observed_duration,standard,,5.43,5.43,92.5546,86.47,6.084599999999995,22,,,,,,,,,,,,fixed,3.39,,,,,,,,
