step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.9965,2.0,74.53,2,3.99,5.99,3.99,2.0,,,,
2,delay,3.993,3.99,78.53,2,5.99,9.98,3.99,5.99,,,,
3,delay,7.986,7.989999999999998,83.17,2,9.98,17.97,3.99,13.979999999999999,,,,
4,delay,7.986,7.98,90.88,2,17.97,25.95,3.99,21.96,,,,
5,delay,2.9619,2.9700000000000006,92.76,5,5.92,8.89,5.92,2.9700000000000006,,,,
6,delay,1.7319,1.7400000000000002,92.68,6,3.46,5.2,3.46,1.7400000000000002,,,,
7,delay,3.4638,3.46,96.14,6,5.2,8.66,3.46,5.2,,,,
8,delay,6.9276,6.93,103.07,6,8.66,15.59,3.46,12.129999999999999,,,,
9,delay,6.9276,6.920000000000002,110.0,6,15.59,22.51,3.46,19.05,,,,
10,delay,2.9619,2.9700000000000006,107.26,9,5.92,8.89,5.92,2.9700000000000006,,,,
11,delay,5.9238,5.92,113.19,9,8.89,14.81,5.92,8.89,,,,
12,delay,11.8476,11.85,125.03,9,14.81,26.66,5.92,20.740000000000002,,,,
13,delay,11.8476,11.84,136.88,9,26.66,38.5,5.92,32.58,,,,
14,delay,1.7319,1.7400000000000002,133.9,12,3.46,5.2,3.46,1.7400000000000002,,,,
15,delay,3.4638,3.46,137.36,12,5.2,8.66,3.46,5.2,,,,
16,delay,1.797,1.7999999999999998,136.46,10,3.59,5.39,3.59,1.7999999999999998,,,,
17,delay,1.6689,1.67,136.37,15,3.34,5.01,3.34,1.67,,,,
18,delay,1.79,1.79,137.17,14,3.58,5.37,3.58,1.79,,,,
19,delay,3.58,3.579999999999999,140.75,14,5.37,8.95,3.58,5.369999999999999,,,,
20,delay,7.16,7.16,147.91,14,8.95,16.11,3.58,12.53,,,,
21,delay,7.16,7.16,155.07,14,16.11,23.27,3.58,19.689999999999998,,,,
22,delay,7.16,7.16,162.23,14,23.27,30.43,3.58,26.85,,,,
23,delay,7.16,7.160000000000004,169.39,14,30.43,37.59,3.58,34.010000000000005,,,,
24,delay,2.9619,2.9700000000000006,166.5,17,5.92,8.89,5.92,2.9700000000000006,,,,
25,delay,1.7319,1.7400000000000002,166.55,18,3.46,5.2,3.46,1.7400000000000002,,,,
26,delay,1.8096,1.8099999999999996,167.1,22,3.62,5.43,3.62,1.8099999999999996,,,,
27,delay,3.6192,3.620000000000001,170.72,22,5.43,9.05,3.62,5.430000000000001,,,,
