step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,4.040065050125122,1 2 4,2,,,,1.9965,1 2 4 3 5 6 7 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
2,delay,5.995146751403809,1 2 4,2,,,,3.993,1 2 4 3 5 6 7 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
3,delay,10.01536512374878,1 2 4,2,,,,7.986,1 2 4 3 5 6 7 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
4,delay,24.7481369972229,1 2 3 4 5 7,5,,,,2.9619,1 2 4 3 5 7 6 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
5,delay,30.390140533447266,1 2 3 4 5 6 7,6,,,,1.7319,1 2 4 3 5 7 6 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
6,delay,32.121562004089355,1 2 3 4 5 6 7,6,,,,3.4638,1 2 4 3 5 7 6 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
7,delay,35.619853258132935,1 2 3 4 5 6 7,6,,,,6.9276,1 2 4 3 5 7 6 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
8,delay,53.53815960884094,1 2 3 4 5 6 7 8 9 10 11,10,,,,1.797,1 2 4 3 5 7 6 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
9,delay,55.304301738739014,1 2 3 4 5 6 7 8 9 10 11,10,,,,3.594,1 2 4 3 5 7 6 8 9 10 11 12 13 15 14 16 17 18 19 20 21 22 23 24
10,delay,61.262489318847656,1 2 3 4 5 6 7 8 9 10 11 12 16,12,,,,1.7319,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
11,delay,63.00668215751648,1 2 3 4 5 6 7 8 9 10 11 12 16,12,,,,3.4638,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
12,delay,70.57492399215698,1 2 3 4 5 6 7 8 9 10 11 12 13 16,13,,,,2.9619,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
13,delay,75.26061415672302,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,1.6689,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
14,delay,76.93329238891602,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,3.3378,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
15,delay,83.59639883041382,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,14,,,,1.79,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 22 23 24
16,delay,85.33819890022278,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,14,,,,3.58,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 22 23 24
17,delay,88.96862959861755,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,14,,,,7.16,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 22 23 24
18,delay,101.13503766059875,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 22 23 24
19,delay,102.86762881278992,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,3.4638,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 22 23 24
20,delay,106.38306474685669,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,6.9276,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 23 24 22
21,delay,113.29127597808838,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,18,,,,6.9276,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 23 24 22
22,delay,120.20371079444885,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 24,18,,,,6.9276,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 24 23 22
23,delay,127.73367142677307,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 24,21,,,,2.9619,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 24 23 22
24,delay,132.78354477882385,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,23,,,,1.797,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 24 23 22
25,delay,134.58973741531372,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,23,,,,3.594,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 24 23 22
26,delay,138.1881446838379,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,23,,,,7.188,1 2 4 3 5 7 6 8 9 10 11 12 13 16 15 14 17 20 18 19 21 24 23 22
