step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.9965,2.0,74.53,2,3.99,5.99,3.99,2.0,,,,
2,delay,3.993,3.99,78.53,2,5.99,9.98,3.99,5.99,,,,
3,delay,7.986,7.989999999999998,83.17,2,9.98,17.97,3.99,13.979999999999999,,,,
4,delay,2.9619,2.9700000000000006,86.66,5,5.92,8.89,5.92,2.9700000000000006,,,,
5,delay,1.7319,1.7400000000000002,87.65,6,3.46,5.2,3.46,1.7400000000000002,,,,
6,delay,3.4638,3.46,91.12,6,5.2,8.66,3.46,5.2,,,,
7,delay,6.9276,6.93,95.42,6,8.66,15.59,3.46,12.129999999999999,,,,
8,delay,1.797,1.7999999999999998,97.71,10,3.59,5.39,3.59,1.7999999999999998,,,,
9,delay,3.594,3.5900000000000007,101.31,10,5.39,8.98,3.59,5.390000000000001,,,,
10,delay,1.7319,1.7400000000000002,101.95,12,3.46,5.2,3.46,1.7400000000000002,,,,
11,delay,3.4638,3.46,105.42,12,5.2,8.66,3.46,5.2,,,,
12,delay,2.9619,2.9700000000000006,106.53,13,5.92,8.89,5.92,2.9700000000000006,,,,
13,delay,1.6689,1.67,106.59,15,3.34,5.01,3.34,1.67,,,,
14,delay,3.3378,3.33,109.93,15,5.01,8.34,3.34,5.0,,,,
15,delay,1.79,1.79,111.45,14,3.58,5.37,3.58,1.79,,,,
16,delay,3.58,3.579999999999999,115.03,14,5.37,8.95,3.58,5.369999999999999,,,,
17,delay,7.16,7.16,122.19,14,8.95,16.11,3.58,12.53,,,,
18,delay,1.7319,1.7400000000000002,119.6,18,3.46,5.2,3.46,1.7400000000000002,,,,
19,delay,3.4638,3.46,123.06,18,5.2,8.66,3.46,5.2,,,,
20,delay,6.9276,6.93,127.52,18,8.66,15.59,3.46,12.129999999999999,,,,
21,delay,6.9276,6.920000000000002,133.32,18,15.59,22.51,3.46,19.05,,,,
22,delay,6.9276,6.93,140.25,18,22.51,29.44,3.46,25.98,,,,
23,delay,2.9619,2.9700000000000006,137.9,21,5.92,8.89,5.92,2.9700000000000006,,,,
24,delay,1.797,1.7999999999999998,138.18,23,3.59,5.39,3.59,1.7999999999999998,,,,
25,delay,3.594,3.5900000000000007,141.78,23,5.39,8.98,3.59,5.390000000000001,,,,
26,delay,7.188,7.190000000000001,147.03,23,8.98,16.17,3.59,12.580000000000002,,,,
