step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,16.38407826423645,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,73.41000000000001,73.55,-0.13999999999998636,8,,,,,,,,,,,,fixed,3.35,,,,,,,,
2,delay,18.20121955871582,3.594,3.6000000000000005,0.0,real_gantt_duration_synchronized,77.01,77.14,-0.12999999999999545,8,,,,,,,,,,,,fixed,3.35,,,,,,,,
3,order,20.065595865249634,0.0,3.8600000000000003,3.35,order_wrong_first_actual_plus_fixed_3.35_on_earlier_task,78.69380000000001,75.6,3.093800000000016,8,8,6,8,6,7.32,3.59,7.32,3.4638,3.4638,standard_due_to_delay,1,fixed,3.35,3.35,3.35,fixed_value,3.35,3.35,3.35,5.4,3.8600000000000003
4,order,28.87502646446228,0.0,0.0,3.35,order_wrong_first_actual_plus_fixed_3.35_on_earlier_task,77.6238,71.43,6.193799999999996,10,10,12,10,12,2.22,3.59,2.22,3.4638,2.22,actual_no_delay,0,fixed,3.35,3.35,3.35,fixed_value,3.35,3.35,3.35,1.2399999999999998,0.0
5,delay,41.34374403953552,1.79,1.79,0.0,real_gantt_duration_synchronized,77.9838,72.49,5.493800000000007,14,,,,,,,,,,,,fixed,3.35,,,,,,,,
6,order,51.970006704330444,0.0,0.0,3.35,order_wrong_first_actual_plus_fixed_3.35_on_earlier_task,76.8138,68.57,8.243800000000007,18,18,19,18,19,3.04,3.46,3.04,3.594,3.04,actual_no_delay,0,fixed,3.35,3.35,3.35,fixed_value,3.35,3.35,3.35,0.5499999999999998,0.0
7,delay,55.43666863441467,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,75.6238,70.3,5.323800000000006,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
8,delay,62.271257400512695,2.9619,2.9700000000000006,0.0,real_gantt_duration_synchronized,78.59380000000002,72.36,6.233800000000016,21,,,,,,,,,,,,fixed,3.35,,,,,,,,
9,delay,67.2728636264801,1.8096,1.8099999999999996,0.0,real_gantt_duration_synchronized,78.78380000000001,72.64,6.143800000000013,22,,,,,,,,,,,,fixed,3.35,,,,,,,,
10,delay,72.49633455276489,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,80.2938,74.21,6.083800000000011,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
