step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,4.0301501750946045,1.9965,2.0,2.0,human_delay_task_uses_real_observed_duration,standard,,5.99,5.99,74.5326,74.53,0.002600000000001046,2,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,6.020073652267456,3.993,3.99,3.99,human_delay_task_uses_real_observed_duration,standard,,9.98,9.98,78.5226,78.52,0.002600000000001046,2,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,10.001327991485596,7.986,7.989999999999998,7.989999999999998,human_delay_task_uses_real_observed_duration,standard,,17.97,17.97,86.5126,83.15,3.3626000000000005,2,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,64.28593349456787,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,88.0786,79.18,8.898599999999988,19,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,66.09980368614197,3.594,3.5900000000000007,3.5900000000000007,human_delay_task_uses_real_observed_duration,standard,,8.98,8.98,91.6686,82.78,8.888599999999997,19,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,69.67038822174072,7.188,7.190000000000001,7.190000000000001,human_delay_task_uses_real_observed_duration,standard,,16.17,16.17,98.8586,89.96,8.898600000000002,19,,,,,,,,,,,,fixed,3.39,,,,,,,,
