step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,7.1752026081085205,1.8096,1.8099999999999996,1.8099999999999996,human_delay_task_uses_real_observed_duration,standard,,5.43,5.43,74.3464,73.83,0.5164000000000044,3,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,17.790550470352173,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,75.79939999999999,74.94,0.8593999999999937,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,19.54855465888977,3.594,3.6000000000000005,3.6000000000000005,human_delay_task_uses_real_observed_duration,standard,,8.99,8.99,79.3994,78.53,0.8693999999999988,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,31.987666845321655,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,78.27539999999999,76.19,2.085399999999993,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,36.11320781707764,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,78.8616,76.8,2.0615999999999985,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,37.85822296142578,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,82.3216,80.26,2.0615999999999985,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,48.249051094055176,1.6689,1.67,1.67,human_delay_task_uses_real_observed_duration,standard,,5.01,5.01,81.5238,79.58,1.943799999999996,15,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,61.08762001991272,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,82.32,79.51,2.809999999999988,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,62.799434661865234,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,85.77999999999999,82.97,2.809999999999988,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,74.74538826942444,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,84.836,80.15,4.685999999999993,23,,,,,,,,,,,,fixed,3.39,,,,,,,,
