step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.797,1.7999999999999998,72.08,10,3.59,5.39,3.59,1.7999999999999998,,,,
2,delay,3.594,3.5900000000000007,75.68,10,5.39,8.98,3.59,5.390000000000001,,,,
3,delay,1.79,1.79,74.57,14,3.58,5.37,3.58,1.79,,,,
4,delay,1.6689,1.67,75.57,15,3.34,5.01,3.34,1.67,,,,
5,delay,3.3378,3.33,78.91,15,5.01,8.34,3.34,5.0,,,,
6,delay,1.7319,1.7400000000000002,77.68,18,3.46,5.2,3.46,1.7400000000000002,,,,
7,delay,3.4638,3.46,81.14,18,5.2,8.66,3.46,5.2,,,,
8,delay,1.797,1.7999999999999998,80.55,19,3.59,5.39,3.59,1.7999999999999998,,,,
9,delay,1.8096,1.8099999999999996,80.51,22,3.62,5.43,3.62,1.8099999999999996,,,,
10,delay,1.797,1.7999999999999998,81.35,23,3.59,5.39,3.59,1.7999999999999998,,,,
11,delay,3.594,3.5900000000000007,84.95,23,5.39,8.98,3.59,5.390000000000001,,,,
12,delay,7.188,7.190000000000001,92.14,23,8.98,16.17,3.59,12.580000000000002,,,,
13,delay,7.188,7.189999999999998,99.32,23,16.17,23.36,3.59,19.77,,,,
