step_idx,decision_time,task_id,agent,state,duration_source,duration_used,fixed_start,recorded_finish,expected_finish_used
4,43.668041467666626,3,human,completed,recorded_real_duration,2.72,3.91,6.63,6.63
4,43.668041467666626,4,robot,completed,recorded_real_duration,9.17,0.07,9.24,9.24
4,43.668041467666626,5,human,completed,recorded_real_duration,5.25,9.24,14.49,14.49
4,43.668041467666626,7,robot,completed,recorded_real_duration,8.55,9.26,17.81,17.81
4,43.668041467666626,6,human,completed,recorded_real_duration,3.05,14.53,17.59,17.59
4,43.668041467666626,8,human,completed,recorded_real_duration,2.03,17.59,19.61,19.61
4,43.668041467666626,9,human,completed,recorded_real_duration,5.1,19.68,24.78,24.78
4,43.668041467666626,10,human,completed,recorded_real_duration,3.08,24.8,27.87,27.87
4,43.668041467666626,11,robot,completed,recorded_real_duration,9.89,20.78,30.68,30.68
4,43.668041467666626,12,human,completed,recorded_real_duration,2.77,27.91,30.68,30.68
4,43.668041467666626,13,human,completed,recorded_real_duration,4.55,30.74,35.29,35.29
4,43.668041467666626,16,robot,completed,recorded_real_duration,9.72,33.04,42.76,42.76
4,43.668041467666626,15,human,executing,recorded_in_progress_expected_duration,15.02,35.32,50.34,50.34
4,43.668041467666626,14,human,pending,standard_time,3.58,,,
4,43.668041467666626,17,human,pending,standard_time,5.92,,,
4,43.668041467666626,18,human,pending,standard_time,3.46,,,
4,43.668041467666626,19,human,pending,standard_time,3.59,,,
4,43.668041467666626,20,robot,pending,standard_time,8.52,,,
4,43.668041467666626,21,human,pending,standard_time,5.92,,,
4,43.668041467666626,22,human,pending,standard_time,3.62,,,
4,43.668041467666626,23,human,pending,standard_time,3.59,,,
4,43.668041467666626,24,robot,pending,standard_time,9.2,,,
