step_idx,iteration,best_makespan
3,59,73.34
3,60,73.34
3,61,73.34
3,62,73.34
3,63,73.34
3,64,73.34
3,65,73.34
3,66,73.34
3,67,73.34
3,68,73.34
3,69,73.34
3,70,73.34
3,71,73.34
3,72,73.34
3,73,73.34
3,74,73.34
3,75,73.34
3,76,73.34
3,77,73.34
3,78,73.34
3,79,73.34
4,0,80.02000000000001
4,1,80.02000000000001
4,2,78.55504146766664
4,3,78.55504146766664
4,4,78.55504146766663
4,5,78.55504146766663
4,6,78.55504146766663
4,7,78.55504146766663
4,8,78.55504146766663
4,9,78.55504146766663
4,10,78.55504146766663
4,11,78.55504146766663
4,12,78.55504146766663
4,13,78.55504146766663
4,14,78.55504146766663
4,15,78.55504146766663
4,16,78.55504146766663
4,17,78.55504146766663
4,18,78.55504146766663
4,19,78.55504146766663
4,20,78.55504146766663
4,21,78.55504146766663
4,22,78.55504146766663
4,23,78.55504146766663
4,24,78.55504146766663
4,25,78.55504146766663
4,26,78.55504146766663
4,27,78.55504146766663
4,28,78.55504146766663
4,29,78.55504146766663
4,30,78.55504146766663
4,31,78.55504146766663
4,32,78.55504146766663
4,33,78.55504146766663
4,34,78.55504146766663
4,35,78.55504146766663
4,36,78.55504146766663
4,37,78.55504146766663
4,38,78.55504146766663
4,39,78.55504146766663
4,40,78.55504146766663
4,41,78.55504146766663
4,42,78.55504146766663
4,43,78.55504146766663
4,44,78.55504146766663
4,45,78.55504146766663
4,46,78.55504146766663
4,47,78.55504146766663
4,48,78.55504146766663
4,49,78.55504146766663
4,50,78.55504146766663
4,51,78.55504146766663
4,52,78.55504146766663
4,53,78.55504146766663
4,54,78.55504146766663
4,55,78.55504146766663
4,56,78.55504146766663
4,57,78.55504146766663
4,58,78.55504146766663
4,59,78.55504146766663
4,60,78.55504146766663
4,61,78.55504146766663
4,62,78.55504146766663
4,63,78.55504146766663
4,64,78.55504146766663
4,65,78.55504146766663
4,66,78.55504146766663
4,67,78.55504146766663
4,68,78.55504146766663
4,69,78.55504146766663
4,70,78.55504146766663
4,71,78.55504146766663
4,72,78.55504146766663
4,73,78.55504146766663
4,74,78.55504146766663
4,75,78.55504146766663
4,76,78.55504146766663
4,77,78.55504146766663
4,78,78.55504146766663
4,79,78.55504146766663
