step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,16.75385022163391,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,75.5296,73.96,1.5696000000000083,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,25.46439218521118,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,78.0758,74.42,3.6557999999999993,9,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,30.331681489944458,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,78.212,74.6,3.612000000000009,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,42.21364712715149,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,79.062,73.46,5.602000000000004,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,44.00439810752869,3.58,3.579999999999999,3.579999999999999,human_delay_task_uses_real_observed_duration,standard,,8.95,8.95,82.642,77.04,5.60199999999999,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,56.25096130371094,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,81.7782,74.67,7.1081999999999965,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,57.97957992553711,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,85.23819999999999,78.13,7.1081999999999965,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,61.426910400390625,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,15.59,15.59,92.1682,82.42,9.748199999999997,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,68.34633612632751,6.9276,6.920000000000002,6.920000000000002,human_delay_task_uses_real_observed_duration,standard,,22.51,22.51,99.0882,88.39,10.6982,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,75.28608298301697,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,29.44,29.44,106.0182,95.32,10.6982,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
11,delay,82.2260525226593,6.9276,6.929999999999996,6.929999999999996,human_delay_task_uses_real_observed_duration,standard,,36.37,36.37,112.94819999999999,102.25,10.698199999999986,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
