step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,17.853978872299194,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,74.92,74.98,-0.060000000000002274,8,,,,,,,,,,,,fixed,3.35,,,,,,,,
2,order,18.657438278198242,0.0,1.0099999999999998,3.35,order_wrong_first_actual_plus_fixed_3.35_on_earlier_task,77.3538,74.19,3.163800000000009,8,8,6,8,6,4.47,3.59,4.47,3.4638,3.4638,standard_due_to_delay,1,fixed,3.35,3.35,3.35,fixed_value,3.35,3.35,3.35,1.7999999999999998,1.0099999999999998
3,delay,30.43992328643799,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,78.47380000000001,74.65,3.8238000000000056,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
4,order,31.899049997329712,0.0,1.5999999999999996,3.35,order_wrong_first_actual_plus_fixed_3.35_on_earlier_task,81.4976,74.45,7.047600000000003,10,10,12,10,12,5.06,3.59,5.06,3.4638,3.4638,standard_due_to_delay,1,fixed,3.35,3.35,3.35,fixed_value,3.35,3.35,3.35,1.7999999999999998,1.5999999999999996
5,delay,42.734301805496216,1.79,1.79,0.0,real_gantt_duration_synchronized,81.83760000000001,73.96,7.877600000000015,14,,,,,,,,,,,,fixed,3.35,,,,,,,,
6,delay,47.23783087730408,1.6689,1.67,0.0,real_gantt_duration_synchronized,82.8276,74.99,7.837600000000009,15,,,,,,,,,,,,fixed,3.35,,,,,,,,
7,delay,56.85954427719116,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,83.03760000000001,75.3,7.737600000000015,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
8,delay,58.60352039337158,3.4638,3.46,0.0,real_gantt_duration_synchronized,86.4976,78.76,7.7376000000000005,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
9,delay,62.04992747306824,6.9276,6.93,0.0,real_gantt_duration_synchronized,93.4316,83.04,10.391599999999997,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
10,delay,69.01246309280396,6.9276,6.920000000000002,0.0,real_gantt_duration_synchronized,100.3516,89.02,11.331600000000009,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
11,delay,79.4934241771698,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,96.09159999999999,84.9,11.19159999999998,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
