step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.8096,1.8099999999999996,74.12,3,3.62,5.43,3.62,1.8099999999999996,,,,
2,delay,2.9619,2.9700000000000006,76.46,5,5.92,8.89,5.92,2.9700000000000006,,,,
3,delay,5.9238,5.92,82.38,5,8.89,14.81,5.92,8.89,,,,
4,delay,1.7319,1.7400000000000002,83.29,6,3.46,5.2,3.46,1.7400000000000002,,,,
5,delay,3.4638,3.46,86.75,6,5.2,8.66,3.46,5.2,,,,
6,delay,6.9276,6.93,91.04,6,8.66,15.59,3.46,12.129999999999999,,,,
7,delay,6.9276,6.920000000000002,97.01,6,15.59,22.51,3.46,19.05,,,,
8,delay,6.9276,6.93,103.94,6,22.51,29.44,3.46,25.98,,,,
9,delay,6.9276,6.929999999999996,110.87,6,29.44,36.37,3.46,32.91,,,,
10,delay,1.7319,1.7400000000000002,105.79,12,3.46,5.2,3.46,1.7400000000000002,,,,
11,delay,1.7319,1.7400000000000002,101.32,18,3.46,5.2,3.46,1.7400000000000002,,,,
12,delay,3.4638,3.46,104.78,18,5.2,8.66,3.46,5.2,,,,
13,delay,6.9276,6.93,109.21,18,8.66,15.59,3.46,12.129999999999999,,,,
14,delay,6.9276,6.920000000000002,115.04,18,15.59,22.51,3.46,19.05,,,,
15,delay,6.9276,6.93,121.97,18,22.51,29.44,3.46,25.98,,,,
16,delay,2.9619,2.9700000000000006,124.08,21,5.92,8.89,5.92,2.9700000000000006,,,,
17,delay,5.9238,5.92,130.01,21,8.89,14.81,5.92,8.89,,,,
18,delay,11.8476,11.85,141.86,21,14.81,26.66,5.92,20.740000000000002,,,,
19,delay,1.797,1.7999999999999998,138.25,23,3.59,5.39,3.59,1.7999999999999998,,,,
20,delay,3.594,3.5900000000000007,141.84,23,5.39,8.98,3.59,5.390000000000001,,,,
