step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,7.438289165496826,1.8096,1.8099999999999996,1.8099999999999996,human_delay_task_uses_real_observed_duration,standard,,5.43,5.43,74.3464,74.12,0.22639999999999816,3,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,14.544789791107178,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,76.4596,76.46,-0.00039999999999906777,5,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,17.50985288619995,5.9238,5.92,5.92,human_delay_task_uses_real_observed_duration,standard,,14.81,14.81,82.3796,82.38,-0.00039999999999906777,5,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,26.078339099884033,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,83.2458,83.29,-0.04420000000000357,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,27.760442972183228,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,86.7058,86.75,-0.04420000000000357,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,31.240071773529053,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,15.59,15.59,93.6358,91.04,2.595799999999997,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,38.143208265304565,6.9276,6.920000000000002,6.920000000000002,human_delay_task_uses_real_observed_duration,standard,,22.51,22.51,100.55579999999999,97.01,3.5457999999999856,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,45.11479306221008,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,29.44,29.44,107.48580000000001,103.94,3.545800000000014,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,52.02626872062683,6.9276,6.929999999999996,6.929999999999996,human_delay_task_uses_real_observed_duration,standard,,36.37,36.37,114.41579999999999,110.87,3.5457999999999856,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,61.52231478691101,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,110.102,105.79,4.311999999999998,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
11,delay,82.92607092857361,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,110.9782,101.32,9.658200000000008,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
12,delay,84.64082860946655,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,114.4382,104.78,9.658199999999994,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
13,delay,88.06627988815308,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,15.59,15.59,121.3682,109.21,12.158200000000008,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
14,delay,94.98477029800415,6.9276,6.920000000000002,6.920000000000002,human_delay_task_uses_real_observed_duration,standard,,22.51,22.51,128.28820000000002,115.04,13.248200000000011,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
15,delay,101.94333553314209,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,29.44,29.44,135.2182,121.97,13.248199999999997,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
16,delay,113.95838952064514,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,137.27439999999999,124.08,13.194399999999987,21,,,,,,,,,,,,fixed,3.39,,,,,,,,
17,delay,116.89024114608765,5.9238,5.92,5.92,human_delay_task_uses_real_observed_duration,standard,,14.81,14.81,143.1944,130.01,13.18440000000001,21,,,,,,,,,,,,fixed,3.39,,,,,,,,
18,delay,122.84268450737,11.8476,11.85,11.85,human_delay_task_uses_real_observed_duration,standard,,26.66,26.66,155.0444,141.86,13.184399999999982,21,,,,,,,,,,,,fixed,3.39,,,,,,,,
19,delay,132.85315608978271,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,151.38039999999998,138.25,13.13039999999998,23,,,,,,,,,,,,fixed,3.39,,,,,,,,
20,delay,134.63946437835693,3.594,3.5900000000000007,3.5900000000000007,human_delay_task_uses_real_observed_duration,standard,,8.98,8.98,154.97039999999998,141.84,13.13039999999998,23,,,,,,,,,,,,fixed,3.39,,,,,,,,
