step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.797,1.7999999999999998,73.55,8,3.59,5.39,3.59,1.7999999999999998,,,,
2,delay,3.594,3.6000000000000005,77.14,8,5.39,8.99,3.59,5.4,,,,
3,order,0.0,3.8600000000000003,75.6,,,,,,8,6,3.8600000000000003,5.4
4,order,0.0,0.0,71.43,,,,,,10,12,0.0,1.2399999999999998
5,delay,1.79,1.79,72.49,14,3.58,5.37,3.58,1.79,,,,
6,order,0.0,0.0,68.57,,,,,,18,19,0.0,0.5499999999999998
7,delay,1.7319,1.7400000000000002,70.3,18,3.46,5.2,3.46,1.7400000000000002,,,,
8,delay,2.9619,2.9700000000000006,72.36,21,5.92,8.89,5.92,2.9700000000000006,,,,
9,delay,1.8096,1.8099999999999996,72.64,22,3.62,5.43,3.62,1.8099999999999996,,,,
10,delay,1.797,1.7999999999999998,74.21,23,3.59,5.39,3.59,1.7999999999999998,,,,
