step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,16.38407826423645,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,75.9094,73.55,2.359400000000008,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,18.20121955871582,3.594,3.6000000000000005,3.6000000000000005,human_delay_task_uses_real_observed_duration,standard,,8.99,8.99,79.5094,77.14,2.369399999999999,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,order,20.065595865249634,0.0,3.8600000000000003,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,,81.2294,75.6,5.629400000000004,8,8,6,8,6,7.32,3.59,7.32,3.4638,3.4638,standard_human_time_mode,1,fixed,3.39,3.39,3.39,fixed_value,3.39,3.39,3.39,5.4,3.8600000000000003
4,order,28.87502646446228,0.0,0.0,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,,83.24539999999999,71.43,11.815399999999983,10,10,12,10,12,2.22,3.594,2.22,3.4638,3.4638,standard_human_time_mode,0,fixed,3.39,3.39,3.39,fixed_value,3.39,3.39,3.39,1.2399999999999998,0.0
5,delay,41.34374403953552,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,85.0354,72.49,12.5454,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,order,51.970006704330444,0.0,0.0,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,,87.9016,68.57,19.33160000000001,18,18,19,18,19,3.04,3.4638,3.04,3.594,3.594,standard_human_time_mode,0,fixed,3.39,3.39,3.39,fixed_value,3.39,3.39,3.39,0.5499999999999998,0.0
7,delay,55.43666863441467,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,86.6716,70.3,16.3716,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,62.271257400512695,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,89.6378,72.36,17.2778,21,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,67.2728636264801,1.8096,1.8099999999999996,1.8099999999999996,human_delay_task_uses_real_observed_duration,standard,,5.43,5.43,89.8286,72.64,17.188599999999994,22,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,72.49633455276489,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,91.3346,74.21,17.1246,23,,,,,,,,,,,,fixed,3.39,,,,,,,,
