step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.797,1.7999999999999998,74.98,8,3.59,5.39,3.59,1.7999999999999998,,,,
2,order,0.0,1.0099999999999998,74.19,,,,,,8,6,1.0099999999999998,1.7999999999999998
3,delay,1.797,1.7999999999999998,74.65,10,3.59,5.39,3.59,1.7999999999999998,,,,
4,order,0.0,1.5999999999999996,74.45,,,,,,10,12,1.5999999999999996,1.7999999999999998
5,delay,1.79,1.79,73.96,14,3.58,5.37,3.58,1.79,,,,
6,delay,1.6689,1.67,74.99,15,3.34,5.01,3.34,1.67,,,,
7,delay,1.7319,1.7400000000000002,75.3,18,3.46,5.2,3.46,1.7400000000000002,,,,
8,delay,3.4638,3.46,78.76,18,5.2,8.66,3.46,5.2,,,,
9,delay,6.9276,6.93,83.04,18,8.66,15.59,3.46,12.129999999999999,,,,
10,delay,6.9276,6.920000000000002,89.02,18,15.59,22.51,3.46,19.05,,,,
11,delay,1.797,1.7999999999999998,84.9,23,3.59,5.39,3.59,1.7999999999999998,,,,
