step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,17.853978872299194,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,75.6994,74.98,0.7193999999999932,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,order,18.657438278198242,0.0,1.0099999999999998,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,,78.1694,74.19,3.9793999999999983,8,8,6,8,6,4.47,3.59,4.47,3.4638,3.4638,standard_human_time_mode,1,fixed,3.39,3.39,3.39,fixed_value,3.39,3.39,3.39,1.7999999999999998,1.0099999999999998
3,delay,30.43992328643799,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,79.96539999999999,74.65,5.315399999999983,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,order,31.899049997329712,0.0,1.5999999999999996,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,,83.02539999999999,74.45,8.575399999999988,10,10,12,10,12,5.06,3.59,5.06,3.4638,3.4638,standard_human_time_mode,1,fixed,3.39,3.39,3.39,fixed_value,3.39,3.39,3.39,1.7999999999999998,1.5999999999999996
5,delay,42.734301805496216,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,84.8154,73.96,10.855400000000003,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,47.23783087730408,1.6689,1.67,1.67,human_delay_task_uses_real_observed_duration,standard,,5.01,5.01,85.8076,74.99,10.817599999999999,15,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,56.85954427719116,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,87.12379999999999,75.3,11.823799999999991,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,58.60352039337158,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,90.58379999999998,78.76,11.823799999999977,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,62.04992747306824,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,15.59,15.59,97.51379999999999,83.04,14.473799999999983,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,69.01246309280396,6.9276,6.920000000000002,6.920000000000002,human_delay_task_uses_real_observed_duration,standard,,22.51,22.51,104.43379999999999,89.02,15.413799999999995,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
11,delay,79.4934241771698,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,100.98979999999999,84.9,16.089799999999983,23,,,,,,,,,,,,fixed,3.39,,,,,,,,
