title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
      14       human           0.00           3.58           3.58
      15       robot           0.00           8.36           8.36
      16       human           3.58           7.57           3.99
       5       human           8.36          14.29           5.92
       7       robot           8.36          16.59           8.23
       8       human          14.29          17.88           3.59
       6       human          17.88          21.34           3.46
       9       human          21.34          27.27           5.92
      11       robot          20.89          29.27           8.38
      12       human          27.27          30.73           3.46
      10       human          30.73          34.33           3.59
      17       human          34.33          40.25           5.92
      18       human          40.25          43.71           3.46
      19       human          43.71          47.31           3.59
      20       robot          33.72          42.25           8.52
      21       human          47.31          53.23           5.92
      22       human          53.23          56.85           3.62
      23       human          56.85          60.44           3.59
      24       robot          46.17          55.23           9.06
       1       human          60.44          66.37           5.92
       4       human          66.37          69.96           3.59
       2       robot          59.17          68.37           9.20
       3       human          69.96          73.58           3.62
                                         makespan:          73.58

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
      14       human           0.00           5.37           5.37
      15       robot           0.00           8.36           8.36
      16       human           5.37           9.36           3.99
       5       human           9.36          15.29           5.92
       7       robot           9.06          17.29           8.23
       8       human          15.29          18.88           3.59
       6       human          18.88          22.34           3.46
       9       human          22.34          28.27           5.92
      11       robot          21.89          30.27           8.38
      12       human          28.27          31.73           3.46
      10       human          31.73          35.33           3.59
      17       human          35.33          41.25           5.92
      18       human          41.25          44.71           3.46
      19       human          44.71          48.31           3.59
      20       robot          34.73          43.25           8.52
      21       human          48.31          54.23           5.92
      22       human          54.23          57.85           3.62
      23       human          57.85          61.44           3.59
      24       robot          47.17          56.23           9.06
       1       human          61.44          67.37           5.92
       4       human          67.37          70.96           3.59
       2       robot          60.17          69.37           9.20
       3       human          70.96          74.58           3.62
                                         makespan:          74.58

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
      14       human           0.00           8.95           8.95
      15       robot           0.00           8.36           8.36
      16       human           8.95          12.94           3.99
       5       human          12.94          18.87           5.92
       7       robot          12.64          20.87           8.23
       8       human          18.87          22.46           3.59
       6       human          22.46          25.92           3.46
       9       human          25.92          31.85           5.92
      11       robot          25.47          33.85           8.38
      12       human          31.85          35.31           3.46
      10       human          35.31          38.91           3.59
      17       human          38.91          44.83           5.92
      18       human          44.83          48.29           3.46
      19       human          48.29          51.89           3.59
      20       robot          38.31          46.83           8.52
      21       human          51.89          57.81           5.92
      22       human          57.81          61.43           3.62
      23       human          61.43          65.02           3.59
      24       robot          50.75          59.81           9.06
       1       human          65.02          70.95           5.92
       4       human          70.95          74.54           3.59
       2       robot          63.75          72.95           9.20
       3       human          74.54          78.16           3.62
                                         makespan:          78.16

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
      14       human           0.00          16.11          16.11
      15       robot           0.00           9.00           9.00
      16       robot           9.00          18.06           9.06
       5       human          18.06          23.98           5.92
       7       robot          18.06          26.29           8.23
       8       human          23.98          27.58           3.59
       6       human          27.58          31.04           3.46
       9       human          31.04          36.97           5.92
      11       robot          30.59          38.97           8.38
      12       human          36.97          40.43           3.46
      10       human          40.43          44.02           3.59
      17       human          44.02          49.95           5.92
      18       human          49.95          53.41           3.46
      19       human          53.41          57.01           3.59
      20       robot          43.42          51.95           8.52
      21       human          57.01          62.93           5.92
      22       human          62.93          66.55           3.62
      23       human          66.55          70.14           3.59
      24       robot          55.73          64.93           9.20
       1       human          70.14          76.07           5.92
       4       human          76.07          79.66           3.59
       2       robot          68.69          78.07           9.37
       3       human          79.66          83.28           3.62
                                         makespan:          83.28

title: final timeline
 task ID       agent     start_time    finish_time       duration
      14       human           0.00          13.43          13.43
      15       robot           0.00           9.79           9.79
      16       robot           9.82          20.17          10.35
       5       human          20.17          23.17           3.00
       7       robot          20.20          29.23           9.03
       8       human          23.20          26.23           3.03
       6       human          26.26          28.34           2.08
       9       human          29.23          33.00           3.77
      11       robot          30.59          40.46           9.87
      12       human          33.03          35.50           2.48
      10       human          35.55          38.04           2.50
      17       human          40.46          44.59           4.13
      18       human          44.62          46.92           2.30
      19       human          46.95          49.86           2.91
      20       robot          43.47          53.11           9.64
      21       human          53.11          57.27           4.16
      22       human          57.30          60.26           2.96
      23       human          60.30          62.80           2.50
      24       robot          55.78          65.74           9.96
       1       human          65.74          69.26           3.53
       4       human          69.29          71.75           2.46
       2       robot          68.70          79.36          10.66
       3       human          71.80          74.66           2.86
                                         makespan:          79.36

