step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,16.75385022163391,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,73.91000000000001,73.96,-0.04999999999998295,6,,,,,,,,,,,,fixed,3.35,,,,,,,,
2,delay,25.46439218521118,2.9619,2.9700000000000006,0.0,real_gantt_duration_synchronized,74.28,74.42,-0.14000000000000057,9,,,,,,,,,,,,fixed,3.35,,,,,,,,
3,delay,30.331681489944458,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,74.42,74.6,-0.1799999999999926,12,,,,,,,,,,,,fixed,3.35,,,,,,,,
4,delay,42.21364712715149,1.79,1.79,0.0,real_gantt_duration_synchronized,73.12,73.46,-0.3399999999999892,14,,,,,,,,,,,,fixed,3.35,,,,,,,,
5,delay,44.00439810752869,3.58,3.579999999999999,0.0,real_gantt_duration_synchronized,76.70000000000002,77.04,-0.3399999999999892,14,,,,,,,,,,,,fixed,3.35,,,,,,,,
6,delay,56.25096130371094,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,74.20000000000002,74.67,-0.46999999999998465,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
7,delay,57.97957992553711,3.4638,3.46,0.0,real_gantt_duration_synchronized,77.66000000000003,78.13,-0.46999999999997044,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
8,delay,61.426910400390625,6.9276,6.93,0.0,real_gantt_duration_synchronized,84.59400000000001,82.42,2.1740000000000066,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
9,delay,68.34633612632751,6.9276,6.920000000000002,0.0,real_gantt_duration_synchronized,91.51400000000001,88.39,3.1240000000000094,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
10,delay,75.28608298301697,6.9276,6.93,0.0,real_gantt_duration_synchronized,98.44400000000002,95.32,3.1240000000000236,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
11,delay,82.2260525226593,6.9276,6.929999999999996,0.0,real_gantt_duration_synchronized,105.37400000000001,102.25,3.1240000000000094,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
