step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.7319,1.7400000000000002,73.96,6,3.46,5.2,3.46,1.7400000000000002,,,,
2,delay,2.9619,2.9700000000000006,74.42,9,5.92,8.89,5.92,2.9700000000000006,,,,
3,delay,1.7319,1.7400000000000002,74.6,12,3.46,5.2,3.46,1.7400000000000002,,,,
4,delay,1.79,1.79,73.46,14,3.58,5.37,3.58,1.79,,,,
5,delay,3.58,3.579999999999999,77.04,14,5.37,8.95,3.58,5.369999999999999,,,,
6,delay,1.7319,1.7400000000000002,74.67,18,3.46,5.2,3.46,1.7400000000000002,,,,
7,delay,3.4638,3.46,78.13,18,5.2,8.66,3.46,5.2,,,,
8,delay,6.9276,6.93,82.42,18,8.66,15.59,3.46,12.129999999999999,,,,
9,delay,6.9276,6.920000000000002,88.39,18,15.59,22.51,3.46,19.05,,,,
10,delay,6.9276,6.93,95.32,18,22.51,29.44,3.46,25.98,,,,
11,delay,6.9276,6.929999999999996,102.25,18,29.44,36.37,3.46,32.91,,,,
