title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       8       human          13.63          17.22           3.59
       7       robot           7.71          15.94           8.23
       6       human          17.22          20.69           3.46
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      16       robot          32.54          41.59           9.06
      15       human          39.59          42.93           3.34
      14       human          42.93          46.51           3.58
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           4.06           4.06
       3       human           4.06           7.05           2.99
       4       robot           0.00           8.75           8.75
       5       human           8.75          13.04           4.29
       8       human          13.04          19.28           6.24
       7       robot           8.75          18.02           9.27
       6       human          19.28          26.55           7.27
       9       human          26.55          31.62           5.07
      10       human          31.62          39.10           7.48
      11       robot          20.23          33.62          13.39
      12       human          39.10          42.09           2.99
      13       human          42.09          45.71           3.62
      16       robot          33.62          47.71          14.09
      15       human          45.71          48.75           3.04
      14       human          48.75          52.23           3.48
      17       human          52.23          56.89           4.66
      18       human          56.89          64.74           7.85
      19       human          64.74          70.10           5.36
      20       robot          47.71          58.89          11.18
      21       human          70.10          73.65           3.55
      22       human          73.65          80.79           7.14
      23       human          80.79          82.45           1.66
      24       robot          58.89          75.65          16.76
                                         makespan:          82.45

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           4.06           4.06
       3       human           4.14           7.13           2.99
       4       robot           0.00           8.75           8.75
       5       human           8.75          13.04           4.29
       8       human          13.11          19.35           6.24
       7       robot           8.86          18.13           9.27
       6       human          19.41          26.68           7.27
       9       human          26.79          31.86           5.07
      11       robot          24.24          35.91          11.67
      10       human          31.93          39.41           7.48
      12       human          39.46          42.45           2.99
      13       human          42.58          46.20           3.62
      16       robot          43.28          53.40          10.12
      15       human          46.29          49.34           3.04
      14       human          49.43          52.91           3.48
      17       human          53.40          58.05           4.66
      18       human          58.14          66.00           7.85
      20       robot          56.67          66.60           9.93
      19       human          66.06          71.42           5.36
      21       human          71.52          75.07           3.55
      24       robot          69.16          79.36          10.20
      22       human          75.13          82.27           7.14
      23       human          82.36          84.02           1.66
                                         makespan:          84.02

