step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,16.76665210723877,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,73.80000000000001,73.91,-0.10999999999998522,8,,,,,,,,,,,,fixed,3.35,,,,,,,,
2,delay,18.579547882080078,3.594,3.6000000000000005,0.0,real_gantt_duration_synchronized,77.4,77.5,-0.09999999999999432,8,,,,,,,,,,,,fixed,3.35,,,,,,,,
3,delay,22.93627429008484,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,76.39,76.55,-0.1599999999999966,6,,,,,,,,,,,,fixed,3.35,,,,,,,,
4,delay,24.63651752471924,3.4638,3.46,0.0,real_gantt_duration_synchronized,79.85000000000001,80.01,-0.1599999999999966,6,,,,,,,,,,,,fixed,3.35,,,,,,,,
5,delay,35.605297565460205,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,79.41000000000001,79.74,-0.3299999999999841,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
6,delay,37.41756463050842,3.594,3.5900000000000007,0.0,real_gantt_duration_synchronized,83.00000000000001,83.34,-0.3399999999999892,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
7,delay,61.6488983631134,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,78.81000000000002,80.07,-1.2599999999999767,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
8,delay,63.436238050460815,3.4638,3.46,0.0,real_gantt_duration_synchronized,82.27000000000001,83.54,-1.269999999999996,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
9,delay,69.67500305175781,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,83.26,84.59,-1.3299999999999983,19,,,,,,,,,,,,fixed,3.35,,,,,,,,
10,delay,78.75796961784363,1.8096,1.8099999999999996,0.0,real_gantt_duration_synchronized,82.66999999999999,84.15,-1.4800000000000182,22,,,,,,,,,,,,fixed,3.35,,,,,,,,
11,delay,80.621253490448,3.6192,3.620000000000001,0.0,real_gantt_duration_synchronized,86.28999999999999,87.77,-1.480000000000004,22,,,,,,,,,,,,fixed,3.35,,,,,,,,
