step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.797,1.7999999999999998,73.91,8,3.59,5.39,3.59,1.7999999999999998,,,,
2,delay,3.594,3.6000000000000005,77.5,8,5.39,8.99,3.59,5.4,,,,
3,delay,1.7319,1.7400000000000002,76.55,6,3.46,5.2,3.46,1.7400000000000002,,,,
4,delay,3.4638,3.46,80.01,6,5.2,8.66,3.46,5.2,,,,
5,delay,1.797,1.7999999999999998,79.74,10,3.59,5.39,3.59,1.7999999999999998,,,,
6,delay,3.594,3.5900000000000007,83.34,10,5.39,8.98,3.59,5.390000000000001,,,,
7,delay,1.7319,1.7400000000000002,80.07,18,3.46,5.2,3.46,1.7400000000000002,,,,
8,delay,3.4638,3.46,83.54,18,5.2,8.66,3.46,5.2,,,,
9,delay,1.797,1.7999999999999998,84.59,19,3.59,5.39,3.59,1.7999999999999998,,,,
10,delay,1.8096,1.8099999999999996,84.15,22,3.62,5.43,3.62,1.8099999999999996,,,,
11,delay,3.6192,3.620000000000001,87.77,22,5.43,9.05,3.62,5.430000000000001,,,,
