step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,17.060504913330078,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,75.26939999999999,74.25,1.0193999999999903,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,order,17.69330406188965,0.0,0.7800000000000002,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,,77.5094,73.23,4.279399999999995,8,8,6,8,6,4.24,3.59,4.24,3.4638,3.4638,standard_human_time_mode,1,fixed,3.39,3.39,3.39,fixed_value,3.39,3.39,3.39,1.7999999999999998,0.7800000000000002
3,delay,29.53109860420227,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,79.2456,73.81,5.435599999999994,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,31.254966497421265,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,82.7056,77.27,5.435600000000008,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,order,33.823368549346924,0.0,4.18,3.39,order_wrong_first_actual_plus_fixed_3.39_on_earlier_task,standard,,,,80.7654,76.25,4.5154,10,12,10,10,12,3.46,3.594,3.46,3.4638,3.4638,standard_human_time_mode,1,fixed,3.39,3.39,3.39,fixed_value,3.39,3.39,3.39,5.2,4.18
6,delay,47.69979000091553,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,82.55539999999999,75.56,6.995399999999989,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,56.86510372161865,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,83.1516,75.31,7.8416,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,58.63023138046265,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,86.6116,78.78,7.831599999999995,18,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,63.184494495391846,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,85.86760000000001,78.07,7.797600000000017,19,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,64.96764373779297,3.594,3.5900000000000007,3.5900000000000007,human_delay_task_uses_real_observed_duration,standard,,8.98,8.98,89.45760000000001,81.66,7.797600000000017,19,,,,,,,,,,,,fixed,3.39,,,,,,,,
11,delay,68.59298872947693,7.188,7.190000000000001,7.190000000000001,human_delay_task_uses_real_observed_duration,standard,,16.17,16.17,96.64760000000001,88.85,7.797600000000017,19,,,,,,,,,,,,fixed,3.39,,,,,,,,
12,delay,75.27417135238647,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,93.14380000000001,85.41,7.733800000000016,21,,,,,,,,,,,,fixed,3.39,,,,,,,,
13,delay,78.20522141456604,5.9238,5.92,5.92,human_delay_task_uses_real_observed_duration,standard,,14.81,14.81,99.06380000000001,91.33,7.733800000000016,21,,,,,,,,,,,,fixed,3.39,,,,,,,,
14,delay,84.15811777114868,11.8476,11.85,11.85,human_delay_task_uses_real_observed_duration,standard,,26.66,26.66,110.91380000000001,103.18,7.733800000000002,21,,,,,,,,,,,,fixed,3.39,,,,,,,,
15,delay,88.99324440956116,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,102.06980000000001,94.37,7.69980000000001,23,,,,,,,,,,,,fixed,3.39,,,,,,,,
