step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.9965,2.0,74.53,2,3.99,5.99,3.99,2.0,,,,
2,delay,3.993,3.99,78.53,2,5.99,9.98,3.99,5.99,,,,
3,delay,7.986,7.989999999999998,83.19,2,9.98,17.97,3.99,13.979999999999999,,,,
4,delay,7.986,7.98,90.88,2,17.97,25.95,3.99,21.96,,,,
5,delay,1.7319,1.7400000000000002,89.05,6,3.46,5.2,3.46,1.7400000000000002,,,,
6,delay,1.797,1.7999999999999998,89.08,10,3.59,5.39,3.59,1.7999999999999998,,,,
7,delay,1.79,1.79,87.15,14,3.58,5.37,3.58,1.79,,,,
8,delay,3.58,3.579999999999999,90.73,14,5.37,8.95,3.58,5.369999999999999,,,,
9,delay,1.7319,1.7400000000000002,87.19,18,3.46,5.2,3.46,1.7400000000000002,,,,
10,delay,3.4638,3.46,90.66,18,5.2,8.66,3.46,5.2,,,,
