step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,27.930541038513184,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,71.76,72.08,-0.3199999999999932,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
2,delay,29.701547384262085,3.594,3.5900000000000007,0.0,real_gantt_duration_synchronized,75.35000000000001,75.68,-0.3299999999999983,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
3,delay,43.34659719467163,1.79,1.79,0.0,real_gantt_duration_synchronized,74.01,74.57,-0.5599999999999881,14,,,,,,,,,,,,fixed,3.35,,,,,,,,
4,delay,47.86027431488037,1.6689,1.67,0.0,real_gantt_duration_synchronized,74.95,75.57,-0.6199999999999903,15,,,,,,,,,,,,fixed,3.35,,,,,,,,
5,delay,49.54167032241821,3.3378,3.33,0.0,real_gantt_duration_synchronized,78.28,78.91,-0.6299999999999955,15,,,,,,,,,,,,fixed,3.35,,,,,,,,
6,delay,59.23161029815674,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,76.86000000000001,77.68,-0.8199999999999932,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
7,delay,61.037724018096924,3.4638,3.46,0.0,real_gantt_duration_synchronized,80.32000000000001,81.14,-0.8199999999999932,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
8,delay,65.63665080070496,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,79.66000000000001,80.55,-0.8899999999999864,19,,,,,,,,,,,,fixed,3.35,,,,,,,,
9,delay,75.14176321029663,1.8096,1.8099999999999996,0.0,real_gantt_duration_synchronized,79.43,80.51,-1.0799999999999983,22,,,,,,,,,,,,fixed,3.35,,,,,,,,
10,delay,79.57205557823181,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,80.20000000000002,81.35,-1.1499999999999773,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
11,delay,81.44679522514343,3.594,3.5900000000000007,0.0,real_gantt_duration_synchronized,83.79000000000002,84.95,-1.1599999999999824,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
12,delay,85.03692030906677,7.188,7.190000000000001,0.0,real_gantt_duration_synchronized,90.98000000000002,92.14,-1.1599999999999824,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
13,delay,92.16597199440002,7.188,7.189999999999998,0.0,real_gantt_duration_synchronized,98.17000000000002,99.32,-1.1499999999999773,23,,,,,,,,,,,,fixed,3.35,,,,,,,,
