step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,7.634570360183716,1.8096,1.8099999999999996,0.0,real_gantt_duration_synchronized,74.25,74.31,-0.060000000000002274,3,,,,,,,,,,,,fixed,3.35,,,,,,,,
2,delay,17.77518057823181,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,74.86000000000001,74.92,-0.05999999999998806,8,,,,,,,,,,,,fixed,3.35,,,,,,,,
3,delay,19.550922632217407,3.594,3.6000000000000005,0.0,real_gantt_duration_synchronized,78.46000000000001,78.52,-0.05999999999998806,8,,,,,,,,,,,,fixed,3.35,,,,,,,,
4,delay,23.15318274497986,7.188,7.1800000000000015,0.0,real_gantt_duration_synchronized,85.64380000000001,83.37,2.2738000000000085,8,,,,,,,,,,,,fixed,3.35,,,,,,,,
5,delay,41.152162313461304,1.797,1.7999999999999998,0.0,real_gantt_duration_synchronized,83.05380000000001,85.37,-2.316199999999995,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
6,delay,42.967363357543945,3.594,3.5900000000000007,0.0,real_gantt_duration_synchronized,86.64380000000001,88.96,-2.3161999999999807,10,,,,,,,,,,,,fixed,3.35,,,,,,,,
7,delay,54.193217515945435,1.6689,1.67,0.0,real_gantt_duration_synchronized,83.11380000000001,85.53,-2.4161999999999892,15,,,,,,,,,,,,fixed,3.35,,,,,,,,
8,order,54.83520150184631,0.0,0.4299999999999997,3.35,order_wrong_first_actual_plus_fixed_3.35_on_earlier_task,85.4638,84.29,1.1738,15,15,14,15,14,4.01,3.34,4.01,3.58,3.58,standard_due_to_delay,1,fixed,3.35,3.35,3.35,fixed_value,3.35,3.35,3.35,1.67,0.4299999999999997
9,delay,67.79909563064575,1.7319,1.7400000000000002,0.0,real_gantt_duration_synchronized,86.41380000000002,86.24,0.17380000000002838,18,,,,,,,,,,,,fixed,3.35,,,,,,,,
10,delay,81.09885883331299,1.8096,1.8099999999999996,0.0,real_gantt_duration_synchronized,86.52380000000002,86.47,0.05380000000002383,22,,,,,,,,,,,,fixed,3.35,,,,,,,,
