step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.8096,1.8099999999999996,73.57,3,3.62,5.43,3.62,1.8099999999999996,,,,
2,delay,1.7319,1.7400000000000002,74.46,6,3.46,5.2,3.46,1.7400000000000002,,,,
3,delay,3.4638,3.46,77.92,6,5.2,8.66,3.46,5.2,,,,
4,order,0.0,3.37,76.1,,,,,,6,8,3.37,5.2
5,delay,6.9276,6.930000000000001,83.03,6,3.46,10.39,3.46,6.930000000000001,,,,
6,delay,1.6689,1.67,80.73,15,3.34,5.01,3.34,1.67,,,,
7,delay,3.3378,3.33,84.07,15,5.01,8.34,3.34,5.0,,,,
8,delay,6.6756,6.68,89.33,15,8.34,15.02,3.34,11.68,,,,
9,delay,6.6756,6.68,93.84,15,15.02,21.7,3.34,18.36,,,,
10,delay,6.6756,6.670000000000002,100.51,15,21.7,28.37,3.34,25.03,,,,
11,delay,6.6756,6.679999999999996,107.19,15,28.37,35.05,3.34,31.709999999999997,,,,
12,delay,1.7319,1.7400000000000002,105.17,18,3.46,5.2,3.46,1.7400000000000002,,,,
13,delay,1.797,1.7999999999999998,104.56,23,3.59,5.39,3.59,1.7999999999999998,,,,
