title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       8       human          13.63          17.22           3.59
       6       human          17.22          20.69           3.46
       7       robot           7.71          15.94           8.23
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      15       human          43.17          46.51           3.34
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      23       human          65.42          69.01           3.59
      24       robot          58.21          67.42           9.20
      22       human          69.01          72.63           3.62
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.96           3.96
       3       human           4.00           9.43           5.43
       4       robot           0.00           7.71           7.71
       5       human           9.43          15.35           5.92
       8       human          15.35          18.95           3.59
       6       human          18.95          22.41           3.46
       7       robot           9.12          17.35           8.23
       9       human          22.41          28.34           5.92
      12       human          28.34          31.80           3.46
      11       robot          21.96          30.34           8.38
      10       human          31.80          35.39           3.59
      13       human          35.39          41.32           5.92
      14       human          41.32          44.90           3.58
      15       human          44.90          48.24           3.34
      16       robot          34.26          43.32           9.06
      17       human          48.24          54.16           5.92
      18       human          54.16          57.62           3.46
      19       human          57.62          61.22           3.59
      20       robot          47.64          56.16           8.52
      21       human          61.22          67.14           5.92
      23       human          67.14          70.74           3.59
      24       robot          59.94          69.14           9.20
      22       human          70.74          74.35           3.62
                                         makespan:          74.35

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.96           3.96
       3       human           4.00           8.60           4.60
       4       robot           0.00           8.71           8.71
       5       human           8.71          14.63           5.92
       8       human          14.67          20.06           5.39
       7       robot           9.17          18.07           8.91
       6       human          20.06          23.52           3.46
       9       human          23.52          29.44           5.92
      10       human          29.44          33.04           3.59
      11       robot          23.07          31.44           8.38
      12       human          33.04          36.50           3.46
      13       human          36.50          42.43           5.92
      14       human          42.43          46.01           3.58
      15       human          46.01          49.34           3.34
      16       robot          35.37          44.43           9.06
      17       human          49.34          55.27           5.92
      18       human          55.27          58.73           3.46
      19       human          58.73          62.33           3.59
      20       robot          48.74          57.27           8.52
      21       human          62.33          68.25           5.92
      23       human          68.25          71.84           3.59
      24       robot          61.05          70.25           9.20
      22       human          71.84          75.46           3.62
                                         makespan:          75.46

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.96           3.96
       3       human           4.00           8.60           4.60
       4       robot           0.00           8.71           8.71
       5       human           8.71          14.63           5.92
       8       human          14.67          23.65           8.99
       7       robot           9.17          18.07           8.91
       6       human          23.65          27.11           3.46
       9       human          27.11          33.04           5.92
      10       human          33.04          36.63           3.59
      11       robot          26.66          35.04           8.38
      12       human          36.63          40.10           3.46
      13       human          40.10          46.02           5.92
      14       human          46.02          49.60           3.58
      15       human          49.60          52.94           3.34
      16       robot          38.96          48.02           9.06
      17       human          52.94          58.86           5.92
      18       human          58.86          62.33           3.46
      19       human          62.33          65.92           3.59
      20       robot          52.34          60.86           8.52
      21       human          65.92          71.84           5.92
      23       human          71.84          75.44           3.59
      24       robot          64.64          73.84           9.20
      22       human          75.44          79.06           3.62
                                         makespan:          79.06

title: dynamic scheduling 4
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.96           3.96
       3       human           4.00           8.60           4.60
       4       robot           0.00           8.71           8.71
       5       human           8.71          14.63           5.92
       8       human          14.67          30.84          16.17
       7       robot           9.17          18.07           8.91
       6       robot          23.65          31.93           8.28
       9       human          31.93          37.86           5.92
      10       human          37.86          41.45           3.59
      11       robot          31.93          40.31           8.38
      12       human          41.45          44.92           3.46
      13       human          44.92          50.84           5.92
      14       human          50.84          54.42           3.58
      15       human          54.42          57.76           3.34
      16       robot          43.78          52.84           9.06
      17       human          57.76          63.68           5.92
      18       human          63.68          67.14           3.46
      19       human          67.14          70.74           3.59
      20       robot          57.16          65.68           8.52
      21       human          70.74          76.66           5.92
      23       human          76.66          80.26           3.59
      24       robot          69.46          78.66           9.20
      22       human          80.26          83.88           3.62
                                         makespan:          83.88

title: dynamic scheduling 5
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.96           3.96
       3       human           4.00           8.60           4.60
       4       robot           0.00           8.71           8.71
       5       human           8.71          14.63           5.92
       8       human          14.67          28.40          13.74
       7       robot           9.17          18.07           8.91
       6       robot          23.73          32.76           9.02
       9       human          32.76          38.59           5.83
      10       human          38.61          44.00           5.39
      11       robot          32.78          42.23           9.45
      12       human          44.00          47.47           3.46
      13       human          47.47          53.39           5.92
      14       human          53.39          56.97           3.58
      15       human          56.97          60.31           3.34
      16       robot          46.34          55.39           9.06
      17       human          60.31          66.23           5.92
      18       human          66.23          69.70           3.46
      19       human          69.70          73.29           3.59
      20       robot          59.71          68.23           8.52
      21       human          73.29          79.21           5.92
      23       human          79.21          82.81           3.59
      24       robot          72.01          81.21           9.20
      22       human          82.81          86.43           3.62
                                         makespan:          86.43

title: dynamic scheduling 6
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.96           3.96
       3       human           4.00           8.60           4.60
       4       robot           0.00           8.71           8.71
       5       human           8.71          14.63           5.92
       8       human          14.67          28.40          13.74
       7       robot           9.17          18.07           8.91
       6       robot          23.73          32.76           9.02
       9       human          32.76          38.59           5.83
      10       human          38.61          47.60           8.98
      11       robot          32.78          42.73           9.95
      12       human          47.60          51.06           3.46
      13       human          51.06          56.99           5.92
      14       human          56.99          60.57           3.58
      15       human          60.57          63.90           3.34
      16       robot          49.93          58.99           9.06
      17       human          63.90          69.83           5.92
      18       human          69.83          73.29           3.46
      19       human          73.29          76.88           3.59
      20       robot          63.30          71.83           8.52
      21       human          76.88          82.81           5.92
      23       human          82.81          86.40           3.59
      24       robot          75.61          84.81           9.20
      22       human          86.40          90.02           3.62
                                         makespan:          90.02

title: dynamic scheduling 7
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.96           3.96
       3       human           4.00           8.60           4.60
       4       robot           0.00           8.71           8.71
       5       human           8.71          14.63           5.92
       8       human          14.67          28.40          13.74
       7       robot           9.17          18.07           8.91
       6       robot          23.73          32.76           9.02
       9       human          32.76          38.59           5.83
      10       human          38.61          54.79          16.17
      11       robot          32.78          42.73           9.95
      12       robot          47.62          56.04           8.42
      13       human          56.04          61.97           5.92
      14       human          61.97          65.55           3.58
      15       human          65.55          68.88           3.34
      16       robot          56.04          65.10           9.06
      17       human          68.88          74.81           5.92
      18       human          74.81          78.27           3.46
      19       human          78.27          81.87           3.59
      20       robot          68.28          76.81           8.52
      21       human          81.87          87.79           5.92
      23       human          87.79          91.38           3.59
      24       robot          80.59          89.79           9.20
      22       human          91.38          95.00           3.62
                                         makespan:          95.00

title: dynamic scheduling 8
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.96           3.96
       3       human           4.00           8.60           4.60
       4       robot           0.00           8.71           8.71
       5       human           8.71          14.63           5.92
       8       human          14.67          28.40          13.74
       7       robot           9.17          18.07           8.91
       6       robot          23.73          32.76           9.02
       9       human          32.76          38.59           5.83
      10       human          38.61          61.97          23.36
      11       robot          32.78          42.73           9.95
      12       robot          47.69          56.11           8.42
      13       human          61.97          67.90           5.92
      14       human          67.90          71.48           3.58
      15       human          71.48          74.82           3.34
