title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       6       human          13.63          17.09           3.46
       7       robot           7.71          15.94           8.23
       8       human          17.09          20.69           3.59
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      16       robot          32.54          41.59           9.06
      15       human          43.17          46.51           3.34
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      23       human          65.42          69.01           3.59
      22       human          69.01          72.63           3.62
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.13           3.13
       3       human           3.15           6.67           3.51
       4       robot           0.00           9.14           9.14
       5       human           9.14          14.09           4.95
       6       human          14.14          17.21           3.07
       7       robot           9.16          17.80           8.64
       8       human          17.23          19.72           2.49
       9       human          19.79          25.25           5.46
      10       human          25.27          30.66           5.39
      11       robot          20.28          28.91           8.63
      12       human          30.66          34.12           3.46
      13       human          34.12          40.05           5.92
      14       human          40.05          43.63           3.58
      16       robot          32.99          42.05           9.06
      15       human          43.63          46.96           3.34
      17       human          46.96          52.89           5.92
      18       human          52.89          56.35           3.46
      19       human          56.35          59.95           3.59
      20       robot          46.36          54.89           8.52
      21       human          59.95          65.87           5.92
      23       human          65.87          69.46           3.59
      22       human          69.46          73.08           3.62
      24       robot          58.67          67.87           9.20
                                         makespan:          73.08

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.13           3.13
       3       human           3.15           6.67           3.51
       4       robot           0.00           9.14           9.14
       5       human           9.14          14.09           4.95
       6       human          14.14          17.21           3.07
       7       robot           9.16          17.80           8.64
       8       human          17.23          19.72           2.49
       9       human          19.79          25.25           5.46
      10       human          25.27          34.25           8.98
      11       robot          20.28          29.78           9.49
      12       human          34.25          37.72           3.46
      13       human          37.72          43.64           5.92
      14       human          43.64          47.22           3.58
      16       robot          36.58          45.64           9.06
      15       human          47.22          50.56           3.34
      17       human          50.56          56.48           5.92
      18       human          56.48          59.95           3.46
      19       human          59.95          63.54           3.59
      20       robot          49.96          58.48           8.52
      21       human          63.54          69.46           5.92
      23       human          69.46          73.06           3.59
      22       human          73.06          76.68           3.62
      24       robot          62.26          71.46           9.20
                                         makespan:          76.68

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.13           3.13
       3       human           3.15           6.67           3.51
       4       robot           0.00           9.14           9.14
       5       human           9.14          14.09           4.95
       6       human          14.14          17.21           3.07
       7       robot           9.16          17.80           8.64
       8       human          17.23          19.72           2.49
       9       human          19.79          25.25           5.46
      10       human          25.27          41.44          16.17
      11       robot          20.28          29.78           9.49
      12       robot          34.26          42.54           8.28
      13       human          42.54          48.46           5.92
      14       human          48.46          52.04           3.58
      16       robot          42.54          51.60           9.06
      15       human          52.04          55.38           3.34
      17       human          55.38          61.31           5.92
      18       human          61.31          64.77           3.46
      19       human          64.77          68.36           3.59
      20       robot          54.78          63.31           8.52
      21       human          68.36          74.29           5.92
      23       human          74.29          77.88           3.59
      22       human          77.88          81.50           3.62
      24       robot          67.09          76.29           9.20
                                         makespan:          81.50

title: dynamic scheduling 4
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.13           3.13
       3       human           3.15           6.67           3.51
       4       robot           0.00           9.14           9.14
       5       human           9.14          14.09           4.95
       6       human          14.14          17.21           3.07
       7       robot           9.16          17.80           8.64
       8       human          17.23          19.72           2.49
       9       human          19.79          25.25           5.46
      10       human          25.27          48.63          23.36
      11       robot          20.28          29.78           9.49
      12       robot          34.33          42.61           8.28
      13       human          48.63          54.55           5.92
      14       human          54.55          58.13           3.58
      16       robot          47.50          56.55           9.06
      15       human          58.13          61.47           3.34
      17       human          61.47          67.39           5.92
      18       human          67.39          70.86           3.46
      19       human          70.86          74.45           3.59
      20       robot          60.87          69.39           8.52
      21       human          74.45          80.38           5.92
      23       human          80.38          83.97           3.59
      22       human          83.97          87.59           3.62
      24       robot          73.17          82.38           9.20
                                         makespan:          87.59

title: dynamic scheduling 5
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.13           3.13
       3       human           3.15           6.67           3.51
       4       robot           0.00           9.14           9.14
       5       human           9.14          14.09           4.95
       6       human          14.14          17.21           3.07
       7       robot           9.16          17.80           8.64
       8       human          17.23          19.72           2.49
       9       human          19.79          25.25           5.46
      10       human          25.27          43.34          18.08
      11       robot          20.28          29.78           9.49
      12       robot          34.33          43.42           9.09
      13       human          43.42          49.05           5.63
      14       human          49.08          54.45           5.37
      16       robot          47.51          56.57           9.06
      15       human          54.45          57.79           3.34
      17       human          57.79          63.71           5.92
      18       human          63.71          67.18           3.46
      19       human          67.18          70.77           3.59
      20       robot          57.19          65.71           8.52
      21       human          70.77          76.70           5.92
      23       human          76.70          80.29           3.59
      22       human          80.29          83.91           3.62
      24       robot          69.49          78.70           9.20
                                         makespan:          83.91

title: dynamic scheduling 6
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.13           3.13
       3       human           3.15           6.67           3.51
       4       robot           0.00           9.14           9.14
       5       human           9.14          14.09           4.95
       6       human          14.14          17.21           3.07
       7       robot           9.16          17.80           8.64
       8       human          17.23          19.72           2.49
       9       human          19.79          25.25           5.46
      10       human          25.27          43.34          18.08
      11       robot          20.28          29.78           9.49
      12       robot          34.33          43.42           9.09
      13       human          43.42          49.05           5.63
      14       human          49.08          53.39           4.30
      16       robot          47.51          57.67          10.16
      15       human          53.41          56.00           2.59
      17       human          57.67          62.35           4.68
      18       human          62.38          67.57           5.20
      20       robot          57.69          66.21           8.52
      19       human          67.57          71.17           3.59
      21       human          71.17          77.09           5.92
      23       human          77.09          80.69           3.59
      22       human          80.69          84.30           3.62
      24       robot          69.89          79.09           9.20
                                         makespan:          84.30

title: dynamic scheduling 7
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.13           3.13
       3       human           3.15           6.67           3.51
       4       robot           0.00           9.14           9.14
       5       human           9.14          14.09           4.95
       6       human          14.14          17.21           3.07
       7       robot           9.16          17.80           8.64
       8       human          17.23          19.72           2.49
       9       human          19.79          25.25           5.46
      10       human          25.27          43.34          18.08
      11       robot          20.28          29.78           9.49
      12       robot          34.33          43.42           9.09
      13       human          43.42          49.05           5.63
      14       human          49.08          53.39           4.30
      16       robot          47.51          57.67          10.16
      15       human          53.41          56.00           2.59
      17       human          57.67          62.35           4.68
      18       human          62.38          66.48           4.10
      20       robot          57.69          67.62           9.93
      19       human          66.51          68.65           2.15
      21       human          68.72          77.61           8.89
      24       robot          69.95          79.61           9.66
      23       human          77.61          81.20           3.59
      22       human          81.20          84.82           3.62
                                         makespan:          84.82

title: final timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.13           3.13
       3       human           3.15           6.67           3.51
       4       robot           0.00           9.14           9.14
       5       human           9.14          14.09           4.95
       6       human          14.14          17.21           3.07
       7       robot           9.16          17.80           8.64
       8       human          17.23          19.72           2.49
       9       human          19.79          25.25           5.46
      10       human          25.27          43.34          18.08
      11       robot          20.28          29.78           9.49
      12       robot          34.33          43.42           9.09
      13       human          43.42          49.05           5.63
      14       human          49.08          53.39           4.30
      16       robot          47.51          57.67          10.16
