step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,4.052881240844727,1 2 4,2,,,,1.9965,1 2 4 3 5 8 6 7 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
2,delay,8.634411811828613,1 2 3 4,3,,,,1.8096,1 2 4 3 5 8 6 7 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
3,delay,10.454699993133545,1 2 3 4 7,3,,,,3.6192,1 2 4 3 5 7 8 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
4,delay,20.962215662002563,1 2 3 4 5 7 8,8,,,,1.797,1 2 4 3 5 7 8 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
5,delay,25.7942156791687,1 2 3 4 5 6 7 8 11,6,,,,1.7319,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
6,delay,27.514740228652954,1 2 3 4 5 6 7 8 11,6,,,,3.4638,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
7,delay,31.01919651031494,1 2 3 4 5 6 7 8 11,6,,,,6.9276,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
8,delay,43.10073733329773,1 2 3 4 5 6 7 8 9 10 11,10,,,,1.797,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
9,delay,44.8547887802124,1 2 3 4 5 6 7 8 9 10 11,10,,,,3.594,1 2 4 3 5 7 8 6 9 11 10 12 13 14 16 15 17 18 19 20 21 22 23 24
10,delay,57.027095794677734,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,14,,,,1.79,1 2 4 3 5 7 8 6 9 11 10 12 13 14 16 15 17 18 19 20 21 22 23 24
11,delay,58.796180963516235,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,14,,,,3.58,1 2 4 3 5 7 8 6 9 11 10 12 13 14 16 15 17 18 19 20 21 22 23 24
12,order,59.416815757751465,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,,14,15,,,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 18 19 20 21 22 23 24
13,delay,68.6438217163086,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20,17,,,,2.9619,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 20 18 19 21 22 23 24
14,delay,73.36395144462585,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 20 18 19 21 22 23 24
15,delay,75.10630941390991,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,3.4638,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 20 18 19 21 22 23 24
16,order,75.7055413722992,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20,,18,19,,,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 20 19 18 21 22 23 24
17,delay,85.41304063796997,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,1.8096,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 20 19 18 21 22 24 23
18,delay,87.23820114135742,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,3.6192,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 20 19 18 21 22 24 23
19,order,88.16107082366943,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,,22,23,,,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 20 19 18 21 24 23 22
20,delay,91.80923676490784,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,22,,,,7.2384,1 2 4 3 5 7 8 6 9 11 10 12 13 16 15 14 17 20 19 18 21 24 23 22
