step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,4.0022132396698,1 2 4,2,,,,1.9965,1 2 4 3 5 7 8 6 9 10 11 12 13 14 15 16 17 18 19 20 21 24 23 22
2,delay,6.022475719451904,1 2 4,2,,,,3.993,1 2 4 3 5 7 8 6 9 10 11 12 13 14 15 16 17 18 19 20 21 24 23 22
3,delay,10.013967752456665,1 2 4,2,,,,7.986,1 2 4 3 5 7 8 6 9 10 11 12 13 14 15 16 17 18 19 20 21 24 23 22
4,delay,17.985092639923096,1 2 3 4,2,,,,7.986,1 2 4 3 5 7 8 6 9 10 11 12 13 14 15 16 17 18 19 20 21 24 23 22
5,delay,30.828526258468628,1 2 3 4 5 7,5,,,,2.9619,1 2 4 3 5 7 8 6 9 10 11 12 13 14 15 16 17 18 19 20 21 24 23 22
6,delay,39.05938959121704,1 2 3 4 5 6 7 8,6,,,,1.7319,1 2 4 3 5 7 8 6 9 10 11 12 13 14 15 16 17 18 19 20 21 24 23 22
7,delay,40.782618284225464,1 2 3 4 5 6 7 8 11,6,,,,3.4638,1 2 4 3 5 7 8 6 9 11 10 12 13 15 14 16 17 18 19 20 21 24 23 22
8,delay,44.2415931224823,1 2 3 4 5 6 7 8 11,6,,,,6.9276,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 23 22
9,delay,51.152787923812866,1 2 3 4 5 6 7 8 11,6,,,,6.9276,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 23 22
10,delay,58.30924201011658,1 2 3 4 5 6 7 8 9 11,9,,,,2.9619,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 23 22
11,delay,61.25921940803528,1 2 3 4 5 6 7 8 9 11,9,,,,5.9238,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 23 22
12,delay,67.1858766078949,1 2 3 4 5 6 7 8 9 11,9,,,,11.8476,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 23 22
13,delay,79.0594425201416,1 2 3 4 5 6 7 8 9 11,9,,,,11.8476,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 22 23
14,delay,89.65585708618164,1 2 3 4 5 6 7 8 9 11 12,12,,,,1.7319,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 22 23
15,delay,91.40688586235046,1 2 3 4 5 6 7 8 9 11 12,12,,,,3.4638,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 22 23
16,delay,95.77297711372375,1 2 3 4 5 6 7 8 9 10 11 12,10,,,,1.797,1 2 4 3 5 7 8 6 9 11 12 10 13 15 14 16 17 18 19 20 21 24 22 23
17,delay,105.02018570899963,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,1.6689,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 18 19 20 21 24 22 23
18,delay,109.26990985870361,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,14,,,,1.79,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 18 19 20 21 24 22 23
19,delay,111.10882067680359,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,14,,,,3.58,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
20,delay,114.66752457618713,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,14,,,,7.16,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
21,delay,121.81121468544006,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,14,,,,7.16,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
22,delay,129.01110458374023,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,14,,,,7.16,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
23,delay,136.17378520965576,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,14,,,,7.16,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
24,delay,143.36115860939026,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20,17,,,,2.9619,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
25,delay,148.10959362983704,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
26,delay,161.70447754859924,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,1.8096,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
27,delay,163.53073501586914,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,3.6192,1 2 4 3 5 7 8 6 9 11 12 10 13 15 16 14 17 20 18 19 21 24 22 23
