title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       7       robot           7.71          15.94           8.23
       8       human          13.63          17.22           3.59
       6       human          17.22          20.69           3.46
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      16       robot          32.54          41.59           9.06
      15       human          39.59          42.93           3.34
      14       human          42.93          46.51           3.58
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      23       human          69.03          72.63           3.59
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.94           3.94
       3       human           3.96           9.39           5.43
       4       robot           0.00           7.71           7.71
       5       human           9.39          15.31           5.92
       7       robot           9.08          17.31           8.23
       8       human          15.31          18.91           3.59
       6       human          18.91          22.37           3.46
       9       human          22.37          28.30           5.92
      11       robot          21.92          30.30           8.38
      12       human          28.30          31.76           3.46
      10       human          31.76          35.35           3.59
      13       human          35.35          41.28           5.92
      16       robot          34.22          43.28           9.06
      15       human          41.28          44.61           3.34
      14       human          44.61          48.19           3.58
      17       human          48.19          54.12           5.92
      18       human          54.12          57.58           3.46
      19       human          57.58          61.18           3.59
      20       robot          47.59          56.12           8.52
      21       human          61.18          67.10           5.92
      22       human          67.10          70.72           3.62
      23       human          70.72          74.31           3.59
      24       robot          59.90          69.10           9.20
                                         makespan:          74.31

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.94           3.94
       3       human           3.96           8.28           4.31
       4       robot           0.00           8.98           8.98
       5       human           8.98          14.10           5.12
       7       robot           9.14          17.65           8.51
       8       human          14.13          19.52           5.39
       6       human          19.52          22.98           3.46
       9       human          22.98          28.90           5.92
      10       human          28.90          32.50           3.59
      11       robot          22.53          30.90           8.38
      12       human          32.50          35.96           3.46
      13       human          35.96          41.89           5.92
      16       robot          34.83          43.89           9.06
      15       human          41.89          45.22           3.34
      14       human          45.22          48.80           3.58
      17       human          48.80          54.73           5.92
      18       human          54.73          58.19           3.46
      19       human          58.19          61.79           3.59
      20       robot          48.20          56.73           8.52
      21       human          61.79          67.71           5.92
      22       human          67.71          71.33           3.62
      23       human          71.33          74.92           3.59
      24       robot          60.51          69.71           9.20
                                         makespan:          74.92

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.94           3.94
       3       human           3.96           8.28           4.31
       4       robot           0.00           8.98           8.98
       5       human           8.98          14.10           5.12
       7       robot           9.14          17.65           8.51
       8       human          14.13          23.11           8.99
       6       human          23.11          26.57           3.46
       9       human          26.57          32.50           5.92
      10       human          32.50          36.09           3.59
      11       robot          26.12          34.50           8.38
      12       human          36.09          39.56           3.46
      13       human          39.56          45.48           5.92
      16       robot          38.42          47.48           9.06
      15       human          45.48          48.82           3.34
      14       human          48.82          52.40           3.58
      17       human          52.40          58.32           5.92
      18       human          58.32          61.79           3.46
      19       human          61.79          65.38           3.59
      20       robot          51.80          60.32           8.52
      21       human          65.38          71.30           5.92
      22       human          71.30          74.92           3.62
      23       human          74.92          78.52           3.59
      24       robot          64.10          73.30           9.20
                                         makespan:          78.52

title: dynamic scheduling 4
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.94           3.94
       3       human           3.96           8.28           4.31
       4       robot           0.00           8.98           8.98
       5       human           8.98          14.10           5.12
       7       robot           9.14          17.65           8.51
       8       human          14.13          30.30          16.17
       6       robot          23.15          31.43           8.28
       9       human          31.43          37.36           5.92
      10       human          37.36          40.95           3.59
      11       robot          31.43          39.81           8.38
      12       human          40.95          44.41           3.46
      13       human          44.41          50.34           5.92
      16       robot          43.28          52.34           9.06
      15       human          50.34          53.68           3.34
      14       human          53.68          57.26           3.58
      17       human          57.26          63.18           5.92
      18       human          63.18          66.64           3.46
      19       human          66.64          70.24           3.59
      20       robot          56.66          65.18           8.52
      21       human          70.24          76.16           5.92
      22       human          76.16          79.78           3.62
      23       human          79.78          83.37           3.59
      24       robot          68.96          78.16           9.20
                                         makespan:          83.37

title: dynamic scheduling 5
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.94           3.94
       3       human           3.96           8.28           4.31
       4       robot           0.00           8.98           8.98
       5       human           8.98          14.10           5.12
       7       robot           9.14          17.65           8.51
       8       human          14.13          26.62          12.50
       6       robot          23.24          32.32           9.08
       9       human          32.32          37.52           5.20
      10       human          37.55          42.94           5.39
      11       robot          32.34          41.15           8.81
      12       human          42.94          46.41           3.46
      13       human          46.41          52.33           5.92
      16       robot          45.28          54.33           9.06
      15       human          52.33          55.67           3.34
      14       human          55.67          59.25           3.58
      17       human          59.25          65.17           5.92
      18       human          65.17          68.64           3.46
      19       human          68.64          72.23           3.59
      20       robot          58.65          67.17           8.52
      21       human          72.23          78.15           5.92
      22       human          78.15          81.77           3.62
      23       human          81.77          85.37           3.59
      24       robot          70.95          80.15           9.20
                                         makespan:          85.37

title: dynamic scheduling 6
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.94           3.94
       3       human           3.96           8.28           4.31
       4       robot           0.00           8.98           8.98
       5       human           8.98          14.10           5.12
       7       robot           9.14          17.65           8.51
       8       human          14.13          26.62          12.50
       6       robot          23.24          32.32           9.08
       9       human          32.32          37.52           5.20
      10       human          37.55          46.54           8.98
      11       robot          32.34          42.26           9.92
      12       human          46.54          50.00           3.46
      13       human          50.00          55.93           5.92
      16       robot          48.87          57.93           9.06
      15       human          55.93          59.26           3.34
      14       human          59.26          62.84           3.58
      17       human          62.84          68.77           5.92
      18       human          68.77          72.23           3.46
      19       human          72.23          75.82           3.59
      20       robot          62.24          70.77           8.52
      21       human          75.82          81.75           5.92
      22       human          81.75          85.37           3.62
      23       human          85.37          88.96           3.59
      24       robot          74.55          83.75           9.20
                                         makespan:          88.96

title: dynamic scheduling 7
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.94           3.94
       3       human           3.96           8.28           4.31
       4       robot           0.00           8.98           8.98
       5       human           8.98          14.10           5.12
       7       robot           9.14          17.65           8.51
       8       human          14.13          26.62          12.50
       6       robot          23.24          32.32           9.08
       9       human          32.32          37.52           5.20
      10       human          37.55          43.64           6.09
      11       robot          32.34          42.26           9.92
      12       human          43.67          45.93           2.26
      13       human          45.99          50.80           4.81
      16       robot          48.88          57.93           9.06
      15       human          50.83          55.83           5.01
      14       human          55.83          59.41           3.58
      17       human          59.41          65.34           5.92
      18       human          65.34          68.80           3.46
      19       human          68.80          72.40           3.59
      20       robot          58.81          67.34           8.52
      21       human          72.40          78.32           5.92
      22       human          78.32          81.94           3.62
      23       human          81.94          85.53           3.59
      24       robot          71.12          80.32           9.20
                                         makespan:          85.53

title: dynamic scheduling 8
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.94           3.94
       3       human           3.96           8.28           4.31
       4       robot           0.00           8.98           8.98
       5       human           8.98          14.10           5.12
       7       robot           9.14          17.65           8.51
       8       human          14.13          26.62          12.50
       6       robot          23.24          32.32           9.08
       9       human          32.32          37.52           5.20
      10       human          37.55          43.64           6.09
      11       robot          32.34          42.26           9.92
      12       human          43.67          45.93           2.26
      13       human          45.99          50.80           4.81
      16       robot          48.88          57.93           9.06
      14       human          50.83          54.84           4.01
