title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       7       robot           7.71          15.94           8.23
       6       human          13.63          17.09           3.46
       8       human          17.09          20.69           3.59
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      16       robot          32.54          41.59           9.06
      14       human          39.59          43.17           3.58
      15       human          43.17          46.51           3.34
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      23       human          65.42          69.01           3.59
      22       human          69.01          72.63           3.62
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.52           3.52
       3       human           3.61           6.49           2.88
       4       robot           0.00           8.69           8.69
       5       human           8.69          13.08           4.40
       7       robot           8.76          18.29           9.53
       6       human          13.14          15.64           2.50
       8       human          15.69          17.87           2.18
       9       human          18.29          21.76           3.48
      10       human          21.86          27.25           5.39
      11       robot          20.25          28.63           8.38
      12       human          27.25          30.71           3.46
      13       human          30.71          36.64           5.92
      16       robot          29.58          38.64           9.06
      14       human          36.64          40.22           3.58
      15       human          40.22          43.55           3.34
      17       human          43.55          49.48           5.92
      18       human          49.48          52.94           3.46
      19       human          52.94          56.54           3.59
      20       robot          42.95          51.48           8.52
      21       human          56.54          62.46           5.92
      23       human          62.46          66.05           3.59
      22       human          66.05          69.67           3.62
      24       robot          55.26          64.46           9.20
                                         makespan:          69.67

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.52           3.52
       3       human           3.61           6.49           2.88
       4       robot           0.00           8.69           8.69
       5       human           8.69          13.08           4.40
       7       robot           8.76          18.29           9.53
       6       human          13.14          15.64           2.50
       8       human          15.69          17.87           2.18
       9       human          18.29          21.76           3.48
      10       human          21.86          27.34           5.48
      11       robot          20.25          30.08           9.83
      12       human          27.41          32.60           5.20
      13       human          32.60          38.53           5.92
      16       robot          30.12          40.53          10.40
      14       human          38.53          42.11           3.58
      15       human          42.11          45.45           3.34
      17       human          45.45          51.37           5.92
      18       human          51.37          54.83           3.46
      19       human          54.83          58.43           3.59
      20       robot          44.85          53.37           8.52
      21       human          58.43          64.35           5.92
      23       human          64.35          67.94           3.59
      22       human          67.94          71.56           3.62
      24       robot          57.15          66.35           9.20
                                         makespan:          71.56

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.52           3.52
       3       human           3.61           6.49           2.88
       4       robot           0.00           8.69           8.69
       5       human           8.69          13.08           4.40
       7       robot           8.76          18.29           9.53
       6       human          13.14          15.64           2.50
       8       human          15.69          17.87           2.18
       9       human          18.29          21.76           3.48
      10       human          21.86          27.34           5.48
      11       robot          20.25          30.08           9.83
      12       human          27.41          36.07           8.66
      13       human          36.07          41.99           5.92
      16       robot          30.12          43.99          13.87
      14       human          41.99          45.57           3.58
      15       human          45.57          48.91           3.34
      17       human          48.91          54.83           5.92
      18       human          54.83          58.30           3.46
      19       human          58.30          61.89           3.59
      20       robot          48.31          56.83           8.52
      21       human          61.89          67.81           5.92
      23       human          67.81          71.41           3.59
      22       human          71.41          75.03           3.62
      24       robot          60.61          69.81           9.20
                                         makespan:          75.03

title: final timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.52           3.52
       3       human           3.61           6.49           2.88
       4       robot           0.00           8.69           8.69
       5       human           8.69          13.08           4.40
       7       robot           8.76          18.29           9.53
       6       human          13.14          15.64           2.50
       8       human          15.69          17.87           2.18
       9       human          18.29          21.76           3.48
      10       human          21.86          27.34           5.48
      11       robot          20.25          30.08           9.83
      12       human          27.41          33.59           6.19
      13       human          33.89          37.09           3.20
      16       robot          30.12          40.55          10.42
      14       human          37.16          39.93           2.77
      15       human          40.02          42.08           2.06
      17       human          42.22          47.34           5.12
      18       human          47.41          50.09           2.68
      19       human          50.16          52.64           2.48
      20       robot          48.32          57.81           9.49
      21       human          57.81          60.61           2.80
      23       human          60.67          63.17           2.49
      22       human          63.26          66.02           2.76
      24       robot          60.67          70.45           9.78
                                         makespan:          70.45

