step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,16.38407826423645,1 2 3 4 5 7 8,8,,,,1.797,1 2 3 4 5 8 7 6 9 12 11 10 13 14 16 15 17 18 19 20 21 22 23 24
2,delay,18.20121955871582,1 2 3 4 5 7 8,8,,,,3.594,1 2 3 4 5 8 7 6 9 10 11 12 13 14 16 15 17 18 19 20 21 22 23 24
3,order,20.065595865249634,1 2 3 4 5 6 7,,8,6,,,1 2 3 4 5 7 6 8 9 10 11 12 13 14 16 15 17 18 19 20 21 22 23 24
4,order,28.87502646446228,1 2 3 4 5 6 7 8 9 11 12,,10,12,,,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 19 20 21 22 23 24
5,delay,41.34374403953552,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,14,,,,1.79,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 19 20 21 22 23 24
6,order,51.970006704330444,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20,,18,19,,,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 19 20 18 21 22 23 24
7,delay,55.43666863441467,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,18,,,,1.7319,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 19 20 18 21 22 23 24
8,delay,62.271257400512695,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 24,21,,,,2.9619,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 19 20 18 21 24 22 23
9,delay,67.2728636264801,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,1.8096,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 19 20 18 21 24 22 23
10,delay,72.49633455276489,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,23,,,,1.797,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 19 20 18 21 24 22 23
