step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,7.634570360183716,1 2 3 4,3,,,,1.8096,1 2 3 4 5 7 8 6 9 11 12 10 13 16 15 14 17 18 19 20 21 22 23 24
2,delay,17.77518057823181,1 2 3 4 5 7 8,8,,,,1.797,1 2 3 4 5 7 8 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
3,delay,19.550922632217407,1 2 3 4 5 7 8,8,,,,3.594,1 2 3 4 5 7 8 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
4,delay,23.15318274497986,1 2 3 4 5 7 8,8,,,,7.188,1 2 3 4 5 7 8 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
5,delay,41.152162313461304,1 2 3 4 5 6 7 8 9 10 11,10,,,,1.797,1 2 3 4 5 7 8 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
6,delay,42.967363357543945,1 2 3 4 5 6 7 8 9 10 11,10,,,,3.594,1 2 3 4 5 7 8 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
7,delay,54.193217515945435,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,1.6689,1 2 3 4 5 7 8 6 9 10 11 12 13 16 15 14 17 18 19 20 21 22 23 24
8,order,54.83520150184631,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,,15,14,,,1 2 3 4 5 7 8 6 9 10 11 12 13 16 14 15 17 18 19 20 21 22 23 24
9,delay,67.79909563064575,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 3 4 5 7 8 6 9 10 11 12 13 16 14 15 17 18 20 19 21 22 23 24
10,delay,81.09885883331299,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24,22,,,,1.8096,1 2 3 4 5 7 8 6 9 10 11 12 13 16 14 15 17 18 20 19 21 22 24 23
