title: Offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       6       human          13.63          17.09           3.46
       8       human          17.09          20.69           3.59
       7       robot           7.71          15.94           8.23
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      15       human          39.59          42.93           3.34
      14       human          42.93          46.51           3.58
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      23       human          65.42          69.01           3.59
      22       human          69.01          72.63           3.62
      24       robot          58.21          67.42           9.20
                                         makespan:          72.63

title: Final no rescheduling
 task ID       agent     start_time    finish_time       duration
       1       human           0.00           0.00           0.00
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           8.93           8.93
       5       human           8.93          14.85           5.92
       6       human          14.85          18.32           3.46
       8       human          18.32          21.91           3.59
       7       robot           8.93          19.11          10.18
       9       human          21.91          27.84           5.92
      10       human          27.84          31.43           3.59
      11       robot          20.23          30.21           9.98
      12       human          31.43          34.89           3.46
      13       human          34.89          51.16          16.27
      15       human          51.16          76.21          25.05
      14       human          76.21          79.79           3.58
      16       robot          32.54          53.16          20.62
      17       human          79.79          85.72           5.92
      18       human          85.72          89.18           3.46
      19       human          89.18          92.77           3.59
      20       robot          53.16          87.72          34.55
      21       human          92.77          98.70           5.92
      23       human          98.70         102.29           3.59
      22       human         102.29         105.91           3.62
      24       robot          87.72         100.70          12.98
                                         makespan:         105.91

title: Final dynamic timeline
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           2.39           2.39
       3       human           2.48           5.44           2.96
       4       robot           0.00           8.93           8.93
       5       human           8.93          13.54           4.61
       6       human          13.61          16.92           3.31
       8       human          17.01          19.50           2.50
       7       robot           9.01          19.18          10.18
       9       human          19.63          23.67           4.05
      10       human          23.75          26.56           2.82
      11       robot          20.28          30.27           9.98
      12       human          26.63          29.55           2.92
      13       human          30.27          46.54          16.27
      16       robot          32.55          49.53          16.98
      15       human          46.63          71.67          25.05
      14       robot          55.15          64.80           9.65
      17       human          71.81          75.90           4.09
      20       robot          67.84          79.35          11.51
      18       human          75.97          78.30           2.33
      19       human          78.37          81.06           2.69
      21       human          81.18          85.59           4.41
      23       human          85.68          88.01           2.32
      22       human          88.10          90.62           2.52
      24       robot          86.76          96.74           9.98
                                         makespan:          96.74

