step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,17.77207064628601,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,75.3494,74.97,0.37940000000000396,8,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,41.26554536819458,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,76.1394,72.44,3.699399999999997,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,43.049452781677246,3.58,3.579999999999999,3.579999999999999,human_delay_task_uses_real_observed_duration,standard,,8.95,8.95,79.71940000000001,76.02,3.6994000000000113,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,47.21821165084839,1.6689,1.67,1.67,human_delay_task_uses_real_observed_duration,standard,,5.01,5.01,78.5916,74.98,3.6115999999999957,15,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,48.86276721954346,3.3378,3.33,3.33,human_delay_task_uses_real_observed_duration,standard,,8.34,8.34,81.9216,78.32,3.601600000000005,15,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,52.28999972343445,6.6756,6.68,6.68,human_delay_task_uses_real_observed_duration,standard,,15.02,15.02,88.6016,84.99,3.61160000000001,15,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,65.52336287498474,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,84.9976,80.42,4.577600000000004,19,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,67.30262160301208,3.594,3.5900000000000007,3.5900000000000007,human_delay_task_uses_real_observed_duration,standard,,8.98,8.98,88.58760000000001,84.02,4.567600000000013,19,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,76.29304909706116,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,87.7836,81.61,6.1736000000000075,23,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,81.07845950126648,1.8096,1.8099999999999996,1.8099999999999996,human_delay_task_uses_real_observed_duration,standard,,5.43,5.43,88.93440000000001,82.83,6.1044000000000125,22,,,,,,,,,,,,fixed,3.39,,,,,,,,
