step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.8096,1.8099999999999996,73.83,3,3.62,5.43,3.62,1.8099999999999996,,,,
2,delay,1.797,1.7999999999999998,74.94,8,3.59,5.39,3.59,1.7999999999999998,,,,
3,delay,3.594,3.6000000000000005,78.53,8,5.39,8.99,3.59,5.4,,,,
4,delay,1.797,1.7999999999999998,76.19,10,3.59,5.39,3.59,1.7999999999999998,,,,
5,delay,1.7319,1.7400000000000002,76.8,12,3.46,5.2,3.46,1.7400000000000002,,,,
6,delay,3.4638,3.46,80.26,12,5.2,8.66,3.46,5.2,,,,
7,delay,1.6689,1.67,79.58,15,3.34,5.01,3.34,1.67,,,,
8,delay,1.7319,1.7400000000000002,79.51,18,3.46,5.2,3.46,1.7400000000000002,,,,
9,delay,3.4638,3.46,82.97,18,5.2,8.66,3.46,5.2,,,,
10,delay,1.797,1.7999999999999998,80.15,23,3.59,5.39,3.59,1.7999999999999998,,,,
