step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,6.87237548828125,1 2 3 4,3,,,,1.8096,1 2 3 4 5 6 7 8 9 10 11 12 13 15 14 16 17 18 19 20 21 24 23 22
2,delay,17.273925304412842,1 2 3 4 5 6 7,6,,,,1.7319,1 2 3 4 5 6 7 8 9 10 11 12 13 15 14 16 17 18 19 20 21 24 23 22
3,delay,18.93399429321289,1 2 3 4 5 6 7,6,,,,3.4638,1 2 3 4 5 6 7 8 9 10 11 12 13 15 14 16 17 18 19 20 21 24 23 22
4,order,20.69325542449951,1 2 3 4 5 7 8,,6,8,,,1 2 3 4 5 7 8 6 9 10 11 12 13 15 14 16 17 18 19 20 21 24 23 22
5,delay,24.1633198261261,1 2 3 4 5 6 7 8 11,6,,,,6.9276,1 2 3 4 5 7 8 6 9 11 10 12 13 15 14 16 17 18 19 20 21 24 23 22
6,delay,49.4039888381958,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,1.6689,1 2 3 4 5 7 8 6 9 11 10 12 13 15 16 14 17 18 19 20 21 24 23 22
7,delay,51.03110361099243,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,3.3378,1 2 3 4 5 7 8 6 9 11 10 12 13 15 16 14 17 18 19 20 21 24 23 22
8,delay,54.42402482032776,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16,15,,,,6.6756,1 2 3 4 5 7 8 6 9 11 10 12 13 15 16 14 17 18 19 20 21 24 23 22
9,delay,61.04439163208008,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,15,,,,6.6756,1 2 3 4 5 7 8 6 9 11 10 12 13 15 16 14 17 18 19 20 21 24 23 22
10,delay,67.73419952392578,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,15,,,,6.6756,1 2 3 4 5 7 8 6 9 11 10 12 13 15 16 14 17 20 18 19 21 24 23 22
11,delay,74.45662474632263,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20,15,,,,6.6756,1 2 3 4 5 7 8 6 9 11 10 12 13 15 16 14 17 20 18 19 21 24 23 22
12,delay,86.73429894447327,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 3 4 5 7 8 6 9 11 10 12 13 15 16 14 17 20 18 19 21 24 23 22
13,delay,99.19538974761963,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,23,,,,1.797,1 2 3 4 5 7 8 6 9 11 10 12 13 15 16 14 17 20 18 19 21 24 23 22
