step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.797,1.7999999999999998,73.58,8,3.59,5.39,3.59,1.7999999999999998,,,,
2,delay,3.594,3.6000000000000005,77.17,8,5.39,8.99,3.59,5.4,,,,
3,delay,7.188,7.1800000000000015,84.36,8,8.99,16.17,3.59,12.580000000000002,,,,
4,delay,2.9619,2.9700000000000006,81.09,9,5.92,8.89,5.92,2.9700000000000006,,,,
5,delay,1.7319,1.7400000000000002,81.21,12,3.46,5.2,3.46,1.7400000000000002,,,,
6,delay,2.9619,2.9700000000000006,82.4,13,5.92,8.89,5.92,2.9700000000000006,,,,
7,delay,1.6689,1.67,82.46,15,3.34,5.01,3.34,1.67,,,,
8,delay,3.3378,3.33,85.8,15,5.01,8.34,3.34,5.0,,,,
9,delay,1.79,1.79,85.65,14,3.58,5.37,3.58,1.79,,,,
10,delay,3.58,3.579999999999999,89.23,14,5.37,8.95,3.58,5.369999999999999,,,,
11,delay,2.9619,2.9700000000000006,89.44,17,5.92,8.89,5.92,2.9700000000000006,,,,
12,delay,1.7319,1.7400000000000002,89.53,18,3.46,5.2,3.46,1.7400000000000002,,,,
13,delay,3.4638,3.46,92.99,18,5.2,8.66,3.46,5.2,,,,
14,delay,6.9276,6.93,97.29,18,8.66,15.59,3.46,12.129999999999999,,,,
15,delay,6.9276,6.920000000000002,103.25,18,15.59,22.51,3.46,19.05,,,,
16,delay,1.797,1.7999999999999998,100.94,23,3.59,5.39,3.59,1.7999999999999998,,,,
17,delay,3.594,3.5900000000000007,104.54,23,5.39,8.98,3.59,5.390000000000001,,,,
