step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,order,14.866525411605835,1 2 3 4 5 6 7,,8,6,,,1 2 3 4 5 7 6 8 9 10 11 12 13 16 14 15 17 18 19 20 21 22 24 23
2,order,24.303927421569824,1 2 3 4 5 6 7 8 9 11 12,,10,12,,,1 2 3 4 5 7 6 8 9 11 12 10 13 16 14 15 17 18 19 20 21 22 24 23
3,delay,27.93318748474121,1 2 3 4 5 6 7 8 9 10 11 12 16,10,,,,1.797,1 2 3 4 5 7 6 8 9 11 12 10 13 16 14 15 17 18 19 20 21 22 24 23
4,delay,36.3930606842041,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,14,,,,1.79,1 2 3 4 5 7 6 8 9 11 12 10 13 16 14 15 17 18 19 20 21 22 24 23
5,delay,38.175668239593506,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,14,,,,3.58,1 2 3 4 5 7 6 8 9 11 12 10 13 16 14 15 17 18 19 20 21 22 24 23
6,delay,41.795331954956055,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,14,,,,7.16,1 2 3 4 5 7 6 8 9 11 12 10 13 16 14 15 17 18 19 20 21 22 24 23
7,order,68.72042298316956,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,,22,23,,,1 2 3 4 5 7 6 8 9 11 12 10 13 16 14 15 17 18 19 20 21 24 23 22
