title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       8       human          13.63          17.22           3.59
       7       robot           7.71          15.94           8.23
       6       human          17.22          20.69           3.46
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      14       human          39.59          43.17           3.58
      16       robot          32.54          41.59           9.06
      15       human          43.17          46.51           3.34
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      23       human          65.42          69.01           3.59
      24       robot          58.21          67.42           9.20
      22       human          69.01          72.63           3.62
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.64           3.64
       3       human           3.67           9.10           5.43
       4       robot           0.00           7.71           7.71
       5       human           9.10          15.02           5.92
       8       human          15.02          18.62           3.59
       7       robot           8.79          17.02           8.23
       6       human          18.62          22.08           3.46
       9       human          22.08          28.00           5.92
      12       human          28.00          31.47           3.46
      11       robot          21.63          30.00           8.38
      10       human          31.47          35.06           3.59
      13       human          35.06          40.99           5.92
      14       human          40.99          44.57           3.58
      16       robot          33.93          42.99           9.06
      15       human          44.57          47.90           3.34
      17       human          47.90          53.83           5.92
      18       human          53.83          57.29           3.46
      19       human          57.29          60.89           3.59
      20       robot          47.30          55.83           8.52
      21       human          60.89          66.81           5.92
      23       human          66.81          70.40           3.59
      24       robot          59.61          68.81           9.20
      22       human          70.40          74.02           3.62
                                         makespan:          74.02

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.64           3.64
       3       human           3.67          12.72           9.05
       4       robot           0.00           8.56           8.56
       5       human          12.72          18.64           5.92
       7       robot           8.85          20.64          11.79
       8       human          18.64          22.24           3.59
       6       human          22.24          25.70           3.46
       9       human          25.70          31.62           5.92
      12       human          31.62          35.09           3.46
      11       robot          25.25          33.62           8.38
      10       human          35.09          38.68           3.59
      13       human          38.68          44.61           5.92
      14       human          44.61          48.19           3.58
      16       robot          37.55          46.61           9.06
      15       human          48.19          51.52           3.34
      17       human          51.52          57.45           5.92
      18       human          57.45          60.91           3.46
      19       human          60.91          64.50           3.59
      20       robot          50.92          59.45           8.52
      21       human          64.50          70.43           5.92
      23       human          70.43          74.02           3.59
      24       robot          63.23          72.43           9.20
      22       human          74.02          77.64           3.62
                                         makespan:          77.64

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.64           3.64
       3       human           3.67          10.21           6.54
       4       robot           0.00           8.56           8.56
       5       human          10.31          14.50           4.20
       7       robot           8.85          18.06           9.21
       8       human          14.53          19.92           5.39
       6       human          19.92          23.38           3.46
       9       human          23.38          29.30           5.92
      10       human          29.30          32.90           3.59
      11       robot          22.93          31.30           8.38
      12       human          32.90          36.36           3.46
      13       human          36.36          42.29           5.92
      14       human          42.29          45.87           3.58
      16       robot          35.23          44.29           9.06
      15       human          45.87          49.20           3.34
      17       human          49.20          55.13           5.92
      18       human          55.13          58.59           3.46
      19       human          58.59          62.18           3.59
      20       robot          48.60          57.13           8.52
      21       human          62.18          68.11           5.92
      23       human          68.11          71.70           3.59
      24       robot          60.91          70.11           9.20
      22       human          71.70          75.32           3.62
                                         makespan:          75.32

title: dynamic scheduling 4
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.64           3.64
       3       human           3.67          10.21           6.54
       4       robot           0.00           8.56           8.56
       5       human          10.31          14.50           4.20
       7       robot           8.85          18.06           9.21
       8       human          14.53          18.81           4.29
       6       human          18.84          24.04           5.20
       9       human          24.04          29.96           5.92
      10       human          29.96          33.56           3.59
      11       robot          23.58          31.96           8.38
      12       human          33.56          37.02           3.46
      13       human          37.02          42.94           5.92
      14       human          42.94          46.52           3.58
      16       robot          35.89          44.94           9.06
      15       human          46.52          49.86           3.34
      17       human          49.86          55.79           5.92
      18       human          55.79          59.25           3.46
      19       human          59.25          62.84           3.59
      20       robot          49.26          57.79           8.52
      21       human          62.84          68.77           5.92
      23       human          68.77          72.36           3.59
      24       robot          61.57          70.77           9.20
      22       human          72.36          75.98           3.62
                                         makespan:          75.98

title: dynamic scheduling 5
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.64           3.64
       3       human           3.67          10.21           6.54
       4       robot           0.00           8.56           8.56
       5       human          10.31          14.50           4.20
       7       robot           8.85          18.06           9.21
       8       human          14.53          18.81           4.29
       6       human          18.84          22.99           4.14
       9       human          23.05          27.93           4.89
      10       human          27.98          33.37           5.39
      11       robot          23.60          31.98           8.38
      12       human          33.37          36.83           3.46
      13       human          36.83          42.76           5.92
      14       human          42.76          46.34           3.58
      16       robot          35.70          44.76           9.06
      15       human          46.34          49.67           3.34
      17       human          49.67          55.60           5.92
      18       human          55.60          59.06           3.46
      19       human          59.06          62.66           3.59
      20       robot          49.07          57.60           8.52
      21       human          62.66          68.58           5.92
      23       human          68.58          72.17           3.59
      24       robot          61.38          70.58           9.20
      22       human          72.17          75.79           3.62
                                         makespan:          75.79

title: dynamic scheduling 6
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.64           3.64
       3       human           3.67          10.21           6.54
       4       robot           0.00           8.56           8.56
       5       human          10.31          14.50           4.20
       7       robot           8.85          18.06           9.21
       8       human          14.53          18.81           4.29
       6       human          18.84          22.99           4.14
       9       human          23.05          27.93           4.89
      10       human          27.98          36.96           8.98
      11       robot          23.60          33.20           9.60
      12       human          36.96          40.43           3.46
      13       human          40.43          46.35           5.92
      14       human          46.35          49.93           3.58
      16       robot          39.30          48.35           9.06
      15       human          49.93          53.27           3.34
      17       human          53.27          59.19           5.92
      18       human          59.19          62.66           3.46
      19       human          62.66          66.25           3.59
      20       robot          52.67          61.19           8.52
      21       human          66.25          72.17           5.92
      23       human          72.17          75.77           3.59
      24       robot          64.97          74.17           9.20
      22       human          75.77          79.39           3.62
                                         makespan:          79.39

title: dynamic scheduling 7
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.64           3.64
       3       human           3.67          10.21           6.54
       4       robot           0.00           8.56           8.56
       5       human          10.31          14.50           4.20
       7       robot           8.85          18.06           9.21
       8       human          14.53          18.81           4.29
       6       human          18.84          22.99           4.14
       9       human          23.05          27.93           4.89
      10       human          27.98          36.43           8.45
      11       robot          23.60          33.20           9.60
      12       human          36.46          41.65           5.20
      13       human          41.65          47.58           5.92
      16       robot          39.32          49.58          10.25
      14       human          47.58          51.16           3.58
      15       human          51.16          54.49           3.34
      17       human          54.49          60.42           5.92
      18       human          60.42          63.88           3.46
      19       human          63.88          67.48           3.59
      20       robot          53.89          62.42           8.52
      21       human          67.48          73.40           5.92
      23       human          73.40          76.99           3.59
      24       robot          66.20          75.40           9.20
      22       human          76.99          80.61           3.62
                                         makespan:          80.61

title: dynamic scheduling 8
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.64           3.64
       3       human           3.67          10.21           6.54
       4       robot           0.00           8.56           8.56
       5       human          10.31          14.50           4.20
       7       robot           8.85          18.06           9.21
       8       human          14.53          18.81           4.29
       6       human          18.84          22.99           4.14
       9       human          23.05          27.93           4.89
      10       human          27.98          36.43           8.45
      11       robot          23.60          33.20           9.60
      12       human          36.46          40.70           4.25
      13       human          40.81          44.65           3.84
      16       robot          39.32          49.58          10.25
      14       human          44.68          50.05           5.37
