title: offline optimal schedule
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.99           3.99
       3       human           3.99           7.61           3.62
       4       robot           0.00           7.71           7.71
       5       human           7.71          13.63           5.92
       6       human          13.63          17.09           3.46
       8       human          17.09          20.69           3.59
       7       robot           7.71          15.94           8.23
       9       human          20.69          26.61           5.92
      10       human          26.61          30.20           3.59
      11       robot          20.23          28.61           8.38
      12       human          30.20          33.67           3.46
      13       human          33.67          39.59           5.92
      15       human          39.59          42.93           3.34
      14       human          42.93          46.51           3.58
      16       robot          32.54          41.59           9.06
      17       human          46.51          52.43           5.92
      18       human          52.43          55.90           3.46
      19       human          55.90          59.49           3.59
      20       robot          45.91          54.43           8.52
      21       human          59.49          65.42           5.92
      22       human          65.42          69.03           3.62
      24       robot          58.21          67.42           9.20
      23       human          69.03          72.63           3.59
                                         makespan:          72.63

title: dynamic scheduling 1
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.97           3.97
       3       human           3.99           9.42           5.43
       4       robot           0.00           7.71           7.71
       5       human           9.42          15.34           5.92
       6       human          15.34          18.81           3.46
       8       human          18.81          22.40           3.59
       7       robot           9.11          17.34           8.23
       9       human          22.40          28.33           5.92
      10       human          28.33          31.92           3.59
      11       robot          21.95          30.33           8.38
      12       human          31.92          35.38           3.46
      13       human          35.38          41.31           5.92
      15       human          41.31          44.65           3.34
      14       human          44.65          48.23           3.58
      16       robot          34.25          43.31           9.06
      17       human          48.23          54.15           5.92
      18       human          54.15          57.61           3.46
      19       human          57.61          61.21           3.59
      20       robot          47.63          56.15           8.52
      21       human          61.21          67.13           5.92
      22       human          67.13          70.75           3.62
      24       robot          59.93          69.13           9.20
      23       human          70.75          74.34           3.59
                                         makespan:          74.34

title: dynamic scheduling 2
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.97           3.97
       3       human           3.99          13.04           9.05
       4       robot           0.00           8.99           8.99
       5       human          13.04          18.96           5.92
       7       robot           9.16          20.96          11.80
       6       human          18.96          22.43           3.46
       8       human          22.43          26.02           3.59
       9       human          26.02          31.95           5.92
      10       human          31.95          35.54           3.59
      11       robot          25.57          33.95           8.38
      12       human          35.54          39.00           3.46
      13       human          39.00          44.93           5.92
      15       human          44.93          48.27           3.34
      14       human          48.27          51.85           3.58
      16       robot          37.87          46.93           9.06
      17       human          51.85          57.77           5.92
      18       human          57.77          61.23           3.46
      19       human          61.23          64.83           3.59
      20       robot          51.24          59.77           8.52
      21       human          64.83          70.75           5.92
      22       human          70.75          74.37           3.62
      24       robot          63.55          72.75           9.20
      23       human          74.37          77.96           3.59
                                         makespan:          77.96

title: dynamic scheduling 3
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.97           3.97
       3       human           3.99          11.54           7.55
       4       robot           0.00           8.99           8.99
       5       human          11.60          16.79           5.19
       7       robot           9.16          20.14          10.98
       6       human          16.82          22.01           5.20
       8       human          22.01          25.61           3.59
       9       human          25.61          31.53           5.92
      10       human          31.53          35.13           3.59
      11       robot          25.15          33.53           8.38
      12       human          35.13          38.59           3.46
      13       human          38.59          44.51           5.92
      15       human          44.51          47.85           3.34
      14       human          47.85          51.43           3.58
      16       robot          37.46          46.51           9.06
      17       human          51.43          57.36           5.92
      18       human          57.36          60.82           3.46
      19       human          60.82          64.41           3.59
      20       robot          50.83          59.36           8.52
      21       human          64.41          70.34           5.92
      22       human          70.34          73.96           3.62
      24       robot          63.13          72.34           9.20
      23       human          73.96          77.55           3.59
                                         makespan:          77.55

title: dynamic scheduling 4
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.97           3.97
       3       human           3.99          11.54           7.55
       4       robot           0.00           8.99           8.99
       5       human          11.60          16.79           5.19
       7       robot           9.16          20.14          10.98
       8       human          16.82          22.00           5.18
       6       human          22.00          25.46           3.46
       9       human          25.46          31.39           5.92
      10       human          31.39          34.98           3.59
      11       robot          25.01          33.39           8.38
      12       human          34.98          38.45           3.46
      13       human          38.45          44.37           5.92
      15       human          44.37          47.71           3.34
      14       human          47.71          51.29           3.58
      16       robot          37.31          46.37           9.06
      17       human          51.29          57.21           5.92
      18       human          57.21          60.67           3.46
      19       human          60.67          64.27           3.59
      20       robot          50.69          59.21           8.52
      21       human          64.27          70.19           5.92
      22       human          70.19          73.81           3.62
      24       robot          62.99          72.19           9.20
      23       human          73.81          77.41           3.59
                                         makespan:          77.41

title: dynamic scheduling 5
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.97           3.97
       3       human           3.99          11.54           7.55
       4       robot           0.00           8.99           8.99
       5       human          11.60          16.79           5.19
       7       robot           9.16          20.14          10.98
       8       human          16.82          22.00           5.18
       6       human          22.00          24.51           2.51
       9       human          24.58          33.47           8.89
      11       robot          25.05          35.47          10.42
      10       human          33.47          37.06           3.59
      12       human          37.06          40.53           3.46
      13       human          40.53          46.45           5.92
      15       human          46.45          49.79           3.34
      14       human          49.79          53.37           3.58
      16       robot          39.40          48.45           9.06
      17       human          53.37          59.29           5.92
      18       human          59.29          62.76           3.46
      19       human          62.76          66.35           3.59
      20       robot          52.77          61.29           8.52
      21       human          66.35          72.27           5.92
      22       human          72.27          75.89           3.62
      24       robot          65.07          74.27           9.20
      23       human          75.89          79.49           3.59
                                         makespan:          79.49

title: dynamic scheduling 6
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.97           3.97
       3       human           3.99          11.54           7.55
       4       robot           0.00           8.99           8.99
       5       human          11.60          16.79           5.19
       7       robot           9.16          20.14          10.98
       8       human          16.82          22.00           5.18
       6       human          22.00          24.51           2.51
       9       human          24.58          31.91           7.32
      11       robot          25.05          35.17          10.12
      10       human          31.95          37.34           5.39
      12       human          37.34          40.80           3.46
      13       human          40.80          46.73           5.92
      15       human          46.73          50.07           3.34
      14       human          50.07          53.65           3.58
      16       robot          39.67          48.73           9.06
      17       human          53.65          59.57           5.92
      18       human          59.57          63.03           3.46
      19       human          63.03          66.63           3.59
      20       robot          53.05          61.57           8.52
      21       human          66.63          72.55           5.92
      22       human          72.55          76.17           3.62
      24       robot          65.35          74.55           9.20
      23       human          76.17          79.76           3.59
                                         makespan:          79.76

title: dynamic scheduling 7
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.97           3.97
       3       human           3.99          11.54           7.55
       4       robot           0.00           8.99           8.99
       5       human          11.60          16.79           5.19
       7       robot           9.16          20.14          10.98
       8       human          16.82          22.00           5.18
       6       human          22.00          24.51           2.51
       9       human          24.58          31.91           7.32
      11       robot          25.05          35.17          10.12
      12       human          31.95          37.24           5.29
      10       human          37.24          40.83           3.59
      13       human          40.83          46.75           5.92
      15       human          46.75          50.09           3.34
      14       human          50.09          53.67           3.58
      16       robot          39.70          48.75           9.06
      17       human          53.67          59.59           5.92
      18       human          59.59          63.06           3.46
      19       human          63.06          66.65           3.59
      20       robot          53.07          61.59           8.52
      21       human          66.65          72.58           5.92
      22       human          72.58          76.20           3.62
      24       robot          65.37          74.58           9.20
      23       human          76.20          79.79           3.59
                                         makespan:          79.79

title: dynamic scheduling 8
 task ID       agent     start_time    finish_time       duration
       2       human           0.00           3.97           3.97
       3       human           3.99          11.54           7.55
       4       robot           0.00           8.99           8.99
       5       human          11.60          16.79           5.19
       7       robot           9.16          20.14          10.98
       8       human          16.82          22.00           5.18
       6       human          22.00          24.51           2.51
       9       human          24.58          31.91           7.32
      11       robot          25.05          35.17          10.12
      12       human          31.95          37.24           5.29
      10       human          37.24          44.42           7.19
      13       human          44.42          50.35           5.92
      16       robot          39.72          52.35          12.62
      15       human          50.35          53.69           3.34
