step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,17.060504913330078,1 2 3 4 5 7 8,8,,,,1.797,1 2 3 4 5 8 7 6 9 12 11 10 13 16 15 14 17 18 19 20 21 24 23 22
2,order,17.69330406188965,1 2 3 4 5 6 7,,8,6,,,1 2 3 4 5 7 6 8 9 12 11 10 13 16 15 14 17 18 19 20 21 24 23 22
3,delay,29.53109860420227,1 2 3 4 5 6 7 8 9 11 12,12,,,,1.7319,1 2 3 4 5 7 6 8 9 12 11 10 13 16 15 14 17 18 19 20 21 24 23 22
4,delay,31.254966497421265,1 2 3 4 5 6 7 8 9 11 12,12,,,,3.4638,1 2 3 4 5 7 6 8 9 12 11 10 13 16 15 14 17 18 19 20 21 24 23 22
5,order,33.823368549346924,1 2 3 4 5 6 7 8 9 10 11,,12,10,,,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 19 20 21 24 23 22
6,delay,47.69979000091553,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,14,,,,1.79,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 19 20 21 24 23 22
7,delay,56.86510372161865,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
8,delay,58.63023138046265,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,3.4638,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
9,delay,63.184494495391846,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,19,,,,1.797,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
10,delay,64.96764373779297,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 24,19,,,,3.594,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
11,delay,68.59298872947693,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 24,19,,,,7.188,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
12,delay,75.27417135238647,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 24,21,,,,2.9619,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
13,delay,78.20522141456604,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 24,21,,,,5.9238,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
14,delay,84.15811777114868,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 24,21,,,,11.8476,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
15,delay,88.99324440956116,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,23,,,,1.797,1 2 3 4 5 7 6 8 9 11 10 12 13 16 15 14 17 18 20 19 21 24 23 22
