step_idx,failure_type,decision_time,frozen_task_ids,t,t1,t2,new_agent,delay_time,dynamic_task_ids
1,delay,17.853978872299194,1 2 3 4 5 7 8,8,,,,1.797,1 2 3 4 5 8 7 6 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 22
2,order,18.657438278198242,1 2 3 4 5 6 7,,8,6,,,1 2 3 4 5 7 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 22
3,delay,30.43992328643799,1 2 3 4 5 6 7 8 9 10 11,10,,,,1.797,1 2 3 4 5 7 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 22
4,order,31.899049997329712,1 2 3 4 5 6 7 8 9 11 12,,10,12,,,1 2 3 4 5 7 6 8 9 11 12 10 13 14 15 16 17 18 19 20 21 23 24 22
5,delay,42.734301805496216,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16,14,,,,1.79,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 19 20 21 23 24 22
6,delay,47.23783087730408,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,15,,,,1.6689,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 19 20 21 23 24 22
7,delay,56.85954427719116,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,1.7319,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 20 19 21 23 24 22
8,delay,58.60352039337158,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,3.4638,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 20 19 21 23 24 22
9,delay,62.04992747306824,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20,18,,,,6.9276,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 20 19 21 23 24 22
10,delay,69.01246309280396,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,18,,,,6.9276,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 20 19 21 23 24 22
11,delay,79.4934241771698,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24,23,,,,1.797,1 2 3 4 5 7 6 8 9 11 12 10 13 14 16 15 17 18 20 19 21 23 24 22
