step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,20.784578561782837,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,75.7396,74.4,1.3395999999999901,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,22.48798441886902,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,79.1996,77.86,1.3396000000000043,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,25.93433451652527,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,15.59,15.59,86.1296,84.79,1.3395999999999901,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,37.52341651916504,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,87.7358,86.48,1.2557999999999936,9,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,46.77247738838196,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,88.9218,87.47,1.4518000000000058,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,53.57101511955261,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,90.90799999999999,89.53,1.377999999999986,13,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,58.561487913131714,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,91.14799999999998,89.8,1.3479999999999848,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,60.34433126449585,3.58,3.579999999999999,3.579999999999999,human_delay_task_uses_real_observed_duration,standard,,8.95,8.95,94.728,93.38,1.347999999999999,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,63.94690775871277,7.16,7.16,7.16,human_delay_task_uses_real_observed_duration,standard,,16.11,16.11,101.88799999999999,98.57,3.317999999999998,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,71.0843997001648,7.16,7.16,7.16,human_delay_task_uses_real_observed_duration,standard,,23.27,23.27,109.04799999999999,104.36,4.687999999999988,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
11,delay,80.7205457687378,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,108.48419999999999,103.87,4.6141999999999825,17,,,,,,,,,,,,fixed,3.39,,,,,,,,
