step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.7319,1.7400000000000002,72.95,6,3.46,5.2,3.46,1.7400000000000002,,,,
2,delay,3.4638,3.46,76.41,6,5.2,8.66,3.46,5.2,,,,
3,delay,1.797,1.7999999999999998,75.5,10,3.59,5.39,3.59,1.7999999999999998,,,,
4,delay,1.7319,1.7400000000000002,76.76,12,3.46,5.2,3.46,1.7400000000000002,,,,
5,delay,3.4638,3.46,80.22,12,5.2,8.66,3.46,5.2,,,,
6,delay,6.9276,6.93,87.15,12,8.66,15.59,3.46,12.129999999999999,,,,
7,delay,2.9619,2.9700000000000006,84.07,13,5.92,8.89,5.92,2.9700000000000006,,,,
8,delay,5.9238,5.92,89.99,13,8.89,14.81,5.92,8.89,,,,
9,delay,11.8476,11.85,101.84,13,14.81,26.66,5.92,20.740000000000002,,,,
10,delay,11.8476,11.84,113.68,13,26.66,38.5,5.92,32.58,,,,
11,delay,1.79,1.79,109.11,14,3.58,5.37,3.58,1.79,,,,
