step_idx,failure_type,decision_time,csv_delay_time,actual_incremental_delay,applied_nores_delay,delay_source,human_time_mode,delay_extra_total,delay_actual_duration,simulated_duration_after_event,nores_makespan,dynamic_makespan_after_event,nores_minus_dynamic,target_task,t1,t2,earlier_task,later_task,order_base_duration,order_required_task_actual_duration,order_wrong_first_task_actual_duration,order_later_standard_duration,order_later_simulated_duration,order_later_duration_source,order_has_delay,compensation_mode,compensation_value,applied_compensation,compensation_base_duration,compensation_base_source,compensation_upper,order_fixed_compensation,order_compensation_upper,released_previous_delay,observed_order_extra_delay
1,delay,19.294506311416626,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,75.7696,72.95,2.819599999999994,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
2,delay,21.04307985305786,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,79.2296,76.41,2.8196000000000083,6,,,,,,,,,,,,fixed,3.39,,,,,,,,
3,delay,31.281671047210693,1.797,1.7999999999999998,1.7999999999999998,human_delay_task_uses_real_observed_duration,standard,,5.39,5.39,80.34559999999999,75.5,4.84559999999999,10,,,,,,,,,,,,fixed,3.39,,,,,,,,
4,delay,36.11177849769592,1.7319,1.7400000000000002,1.7400000000000002,human_delay_task_uses_real_observed_duration,standard,,5.2,5.2,81.5118,76.76,4.751799999999989,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
5,delay,37.8345410823822,3.4638,3.46,3.46,human_delay_task_uses_real_observed_duration,standard,,8.66,8.66,84.9718,80.22,4.751800000000003,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
6,delay,41.27097010612488,6.9276,6.93,6.93,human_delay_task_uses_real_observed_duration,standard,,15.59,15.59,91.9018,87.15,4.751799999999989,12,,,,,,,,,,,,fixed,3.39,,,,,,,,
7,delay,48.11753726005554,2.9619,2.9700000000000006,2.9700000000000006,human_delay_task_uses_real_observed_duration,standard,,8.89,8.89,88.758,84.07,4.688000000000002,13,,,,,,,,,,,,fixed,3.39,,,,,,,,
8,delay,51.098541498184204,5.9238,5.92,5.92,human_delay_task_uses_real_observed_duration,standard,,14.81,14.81,94.678,89.99,4.688000000000002,13,,,,,,,,,,,,fixed,3.39,,,,,,,,
9,delay,57.04210686683655,11.8476,11.85,11.85,human_delay_task_uses_real_observed_duration,standard,,26.66,26.66,106.52799999999999,101.84,4.687999999999988,13,,,,,,,,,,,,fixed,3.39,,,,,,,,
10,delay,68.91061234474182,11.8476,11.84,11.84,human_delay_task_uses_real_observed_duration,standard,,38.5,38.5,118.368,113.68,4.687999999999988,13,,,,,,,,,,,,fixed,3.39,,,,,,,,
11,delay,77.9815616607666,1.79,1.79,1.79,human_delay_task_uses_real_observed_duration,standard,,5.37,5.37,113.708,109.11,4.597999999999999,14,,,,,,,,,,,,fixed,3.39,,,,,,,,
